size,k,avg_rate,density,clustering,shortest_path,std_rate,median_rate,n_comp_nodes,avg_steps
5,0,0.31999999999999995,0.4,0.0,2.0,0.09797958971132716,0.6,2.1333333333333337,1000.0
5,1,0.15999999999999992,0.4,0.0,1.8,0.14966629547095767,0.8,2.4666666666666663,1000.0
5,2,0.040000000000000036,0.4,0.0,1.6,0.07999999999999999,1.0,2.9333333333333327,1000.0
5,3,0.19999999999999996,0.4,0.0,1.8,0.0,0.8,2.8666666666666667,1000.0
5,4,0.43999999999999995,0.5,0.4666666666666666,1.7,0.07999999999999999,0.6,1.7999999999999996,1000.0
5,5,0.08000000000000007,0.4,0.0,1.8,0.09797958971132709,1.0,2.8666666666666663,1000.0
5,6,0.28,0.4,0.0,2.0,0.2039607805437114,0.8,2.2666666666666666,1000.0
5,7,0.15999999999999992,0.4,0.0,1.8,0.07999999999999999,0.8,2.5999999999999996,1000.0
5,8,0.19999999999999996,0.4,0.0,1.8,0.1264911064067352,0.8,2.533333333333333,1000.0
5,9,0.24,0.4,0.0,1.8,0.14966629547095767,0.8,2.0,1000.0
15,0,0.42666666666666664,0.17142857142857143,0.06444444444444444,2.5142857142857142,0.06798692684790378,0.6,5.533333333333333,1000.0
15,1,0.42666666666666664,0.18095238095238095,0.23333333333333336,2.380952380952381,0.03265986323710904,0.6,5.666666666666667,1000.0
15,2,0.48,0.18095238095238095,0.1511111111111111,2.6285714285714286,0.04988876515698587,0.5333333333333333,4.933333333333333,1000.0
15,3,0.42666666666666664,0.18095238095238095,0.12412698412698413,2.638095238095238,0.03265986323710904,0.6,5.4,1000.0
15,4,0.3733333333333333,0.1619047619047619,0.09126984126984126,2.4761904761904763,0.03265986323710904,0.6,6.333333333333333,1000.0
15,5,0.3466666666666667,0.18095238095238095,0.03777777777777778,2.5714285714285716,0.09797958971132709,0.6666666666666666,5.8,1000.0
15,6,0.40000000000000013,0.18095238095238095,0.0,2.533333333333333,0.059628479399994376,0.6,5.466666666666667,1000.0
15,7,0.52,0.21904761904761905,0.2568253968253968,2.4761904761904763,0.077746025264604,0.5333333333333333,4.4,1000.0
15,8,0.42666666666666675,0.17142857142857143,0.0,2.5238095238095237,0.06798692684790378,0.6,5.733333333333333,1000.0
15,9,0.46666666666666656,0.19047619047619047,0.08444444444444445,2.4952380952380953,0.059628479399994376,0.5333333333333333,4.999999999999999,1000.0
25,0,0.592,0.13666666666666666,0.041333333333333326,2.6233333333333335,0.064,0.4,6.8,1000.0
25,1,0.45599999999999996,0.11666666666666667,0.049523809523809526,3.066666666666667,0.11482160075525862,0.56,8.066666666666666,1000.0
25,2,0.43199999999999994,0.11333333333333333,0.11333333333333333,3.0833333333333335,0.046647615158762396,0.56,8.933333333333332,1000.0
25,3,0.592,0.13,0.132,2.783333333333333,0.0466476151587624,0.4,6.466666666666666,1000.0
25,4,0.504,0.13333333333333333,0.03447619047619047,2.7066666666666666,0.040792156108742296,0.48,7.133333333333333,1000.0
25,5,0.43999999999999995,0.12,0.06533333333333334,3.05,0.02529822128134702,0.56,7.7333333333333325,1000.0
25,6,0.56,0.15666666666666668,0.1285714285714286,2.56,0.04381780460041329,0.44,5.799999999999999,1000.0
25,7,0.36,0.10666666666666667,0.0,3.15,0.05059644256269404,0.64,8.866666666666665,1000.0
25,8,0.488,0.13333333333333333,0.11942857142857143,2.8833333333333333,0.039191835884530866,0.52,8.533333333333333,1000.0
25,9,0.43999999999999995,0.12,0.064,2.8066666666666666,0.04381780460041329,0.56,7.933333333333333,1000.0
35,0,0.6285714285714286,0.1092436974789916,0.049863945578231296,2.715966386554622,0.05421047417431508,0.37142857142857144,7.7333333333333325,1000.0
35,1,0.46285714285714286,0.08907563025210084,0.05564625850340136,3.0554621848739494,0.02138089935299396,0.5428571428571428,11.599999999999998,1000.0
35,2,0.64,0.11596638655462185,0.05061224489795917,2.608403361344538,0.0966373401445015,0.3142857142857143,8.0,1000.0
35,3,0.52,0.10420168067226891,0.12272108843537417,2.880672268907563,0.04915614438310072,0.45714285714285713,9.933333333333332,1000.0
35,4,0.5428571428571429,0.0957983193277311,0.07346938775510205,3.0873949579831934,0.036140316116210026,0.45714285714285713,9.333333333333332,1000.0
35,5,0.5428571428571429,0.11428571428571428,0.12183673469387753,2.6638655462184873,0.04426266681379904,0.42857142857142855,9.266666666666666,1000.0
35,6,0.6114285714285714,0.10252100840336134,0.08190476190476191,3.0016806722689076,0.06154474065296576,0.37142857142857144,7.8,1000.0
35,7,0.5371428571428571,0.09915966386554621,0.0527891156462585,2.8739495798319328,0.05827450872677467,0.45714285714285713,9.533333333333333,1000.0
35,8,0.5942857142857143,0.09747899159663866,0.12040816326530612,2.954621848739496,0.055402055513329475,0.37142857142857144,9.466666666666665,1000.0
35,9,0.48571428571428577,0.09243697478991597,0.05612244897959184,3.0168067226890756,0.018070158058105013,0.5142857142857142,11.399999999999999,1000.0
45,0,0.5822222222222223,0.09292929292929293,0.062186948853615524,2.7393939393939393,0.029481109247603558,0.4222222222222222,11.2,1000.0
45,1,0.6088888888888889,0.0898989898989899,0.09523809523809526,2.907070707070707,0.036106837353937604,0.4,10.333333333333332,1000.0
45,2,0.6177777777777778,0.09696969696969697,0.11201058201058203,2.7333333333333334,0.04949123878071131,0.4222222222222222,9.933333333333332,1000.0
45,3,0.6711111111111111,0.09898989898989899,0.05335097001763668,2.672727272727273,0.05333333333333334,0.35555555555555557,8.533333333333333,1000.0
