size,k,avg_rate,density,clustering,shortest_path,std_rate,median_rate,n_comp_nodes,avg_steps,avg_l1,avg_l2
25,5,0.45599999999999996,0.12,0.06533333333333334,3.05,0.03200000000000003,0.56,8.8,1000.0,8.8,2.5615390575359838
25,6,0.632,0.15666666666666668,0.1285714285714286,2.56,0.068818602136341,0.36,6.0,1000.0,6.0,2.145584088290696
25,7,0.32000000000000006,0.10666666666666667,0.0,3.15,0.04381780460041329,0.68,9.866666666666665,1000.0,9.866666666666665,2.6458009219818495
25,8,0.48,0.13333333333333333,0.11942857142857143,2.8833333333333333,0.025298221281347056,0.52,7.866666666666665,1000.0,7.866666666666665,2.3715918770947986
25,9,0.43199999999999994,0.12,0.064,2.8066666666666666,0.08158431221748455,0.56,8.0,1000.0,8.0,2.323498719919647
35,0,0.5885714285714286,0.1092436974789916,0.049863945578231296,2.715966386554622,0.03875617133214438,0.42857142857142855,9.266666666666666,1000.0,9.266666666666666,2.628603841270954
35,1,0.5142857142857142,0.08907563025210084,0.05564625850340136,3.0554621848739494,0.018070158058105013,0.4857142857142857,11.266666666666666,1000.0,11.266666666666666,2.9842393033129224
35,2,0.6742857142857143,0.11596638655462185,0.05061224489795917,2.608403361344538,0.08000000000000002,0.37142857142857144,7.666666666666666,1000.0,7.666666666666666,2.4586530442702488
35,3,0.6285714285714286,0.10420168067226891,0.12272108843537417,2.880672268907563,0.04426266681379906,0.4,7.133333333333333,1000.0,7.133333333333333,2.149794680904086
35,4,0.5771428571428572,0.0957983193277311,0.07346938775510205,3.0873949579831934,0.0419912527334259,0.4,10.133333333333333,1000.0,10.133333333333333,2.8403924531444895
35,5,0.5371428571428571,0.11428571428571428,0.12183673469387753,2.6638655462184873,0.033319725113401706,0.4857142857142857,9.0,1000.0,9.0,2.469390322456951
35,6,0.6171428571428572,0.10252100840336134,0.08190476190476191,3.0016806722689076,0.029137254363387332,0.37142857142857144,7.933333333333333,1000.0,7.933333333333333,2.3414016393509214
35,7,0.56,0.09915966386554621,0.0527891156462585,2.8739495798319328,0.022857142857142847,0.45714285714285713,9.466666666666665,1000.0,9.466666666666665,2.62388074610415
35,8,0.6,0.09747899159663866,0.12040816326530612,2.954621848739496,0.03129843185743805,0.4,8.933333333333332,1000.0,8.933333333333332,2.5703289430543395
35,9,0.5028571428571429,0.09243697478991597,0.05612244897959184,3.0168067226890756,0.029137254363387332,0.4857142857142857,10.866666666666665,1000.0,10.866666666666665,2.871388076567682
45,0,0.5822222222222222,0.09292929292929293,0.062186948853615524,2.7393939393939393,0.03823255674241167,0.4,11.8,1000.0,11.8,2.9727840868447446
45,1,0.5911111111111111,0.0898989898989899,0.09523809523809526,2.907070707070707,0.03014368881389007,0.4222222222222222,11.066666666666666,1000.0,11.066666666666666,2.8175351928187986
45,2,0.6533333333333333,0.09696969696969697,0.11201058201058203,2.7333333333333334,0.04121608220220313,0.35555555555555557,8.933333333333334,1000.0,8.933333333333334,2.4628004187395693
45,3,0.6133333333333333,0.09898989898989899,0.05335097001763668,2.672727272727273,0.036106837353937604,0.4,9.733333333333333,1000.0,9.733333333333333,2.5315828116917367
45,4,0.6622222222222223,0.10202020202020202,0.08502645502645505,2.602020202020202,0.03823255674241169,0.3333333333333333,9.6,1000.0,9.6,2.6944207889567076
45,5,0.5822222222222222,0.08787878787878788,0.10380952380952381,2.9242424242424243,0.06942444156361473,0.37777777777777777,11.466666666666667,1000.0,11.466666666666667,2.9083429039256647
45,6,0.5866666666666667,0.09494949494949495,0.06686067019400353,2.721212121212121,0.01777777777777776,0.4,11.066666666666665,1000.0,11.066666666666665,2.811978188370061
45,7,0.6933333333333334,0.10404040404040404,0.081657848324515,2.5898989898989897,0.025915341754868,0.3111111111111111,8.133333333333333,1000.0,8.133333333333333,2.343780844654004
45,8,0.5644444444444445,0.08080808080808081,0.04328042328042328,3.1121212121212123,0.05896221849520711,0.4444444444444444,12.266666666666666,1000.0,12.266666666666666,2.991782082438045
45,9,0.5244444444444445,0.09090909090909091,0.05855379188712523,2.7767676767676766,0.045758356182164436,0.4888888888888889,12.2,1000.0,12.2,2.8973286012447437
55,0,0.6254545454545455,0.08552188552188553,0.10268660632296997,2.7932659932659933,0.03743865505813455,0.38181818181818183,13.266666666666666,1000.0,13.266666666666666,3.1991335157613703
55,1,0.6872727272727273,0.08215488215488216,0.04896103896103896,2.758922558922559,0.042093952373782655,0.3090909090909091,10.599999999999998,1000.0,10.599999999999998,2.7512601689190666
55,2,0.6436363636363637,0.08350168350168351,0.04855699855699856,2.731313131313131,0.03743865505813454,0.32727272727272727,12.266666666666666,1000.0,12.266666666666666,3.0026947581632877
55,3,0.6327272727272727,0.08350168350168351,0.12634527089072548,2.748148148148148,0.0212034614358011,0.36363636363636365,13.066666666666663,1000.0,13.066666666666663,3.1286264649931796
55,4,0.5927272727272728,0.08552188552188553,0.09832611832611833,2.68013468013468,0.06764027359177553,0.4,13.8,1000.0,13.8,3.2101932371883684
55,5,0.6436363636363637,0.08686868686868687,0.10596221959858323,2.709090909090909,0.021818181818181823,0.34545454545454546,10.799999999999999,1000.0,10.799999999999999,2.7244634907683265
55,6,0.6290909090909091,0.07676767676767676,0.07095238095238096,2.9313131313131313,0.06256236557849185,0.36363636363636365,13.0,1000.0,13.0,3.147730636504769
55,7,0.6254545454545455,0.08080808080808081,0.07627705627705628,2.783164983164983,0.06764027359177555,0.38181818181818183,13.066666666666666,1000.0,13.066666666666666,3.122737846281299
55,8,0.6618181818181819,0.09023569023569024,0.0732034632034632,2.696969696969697,0.06464141394411338,0.32727272727272727,10.466666666666667,1000.0,10.466666666666667,2.6593553523295417
55,9,0.6690909090909091,0.08484848484848485,0.036709956709956706,2.727946127946128,0.0212034614358011,0.32727272727272727,10.066666666666666,1000.0,10.066666666666666,2.5399545667840076
65,0,0.6892307692307692,0.0798076923076923,0.07335775335775334,2.691346153846154,0.052758240613791536,0.3230769230769231,12.2,1000.0,12.2,2.980858007678351
65,1,0.6399999999999999,0.08076923076923077,0.0652003552003552,2.644230769230769,0.04625629654883972,0.36923076923076925,13.066666666666666,1000.0,13.066666666666666,2.9814511997699
65,2,0.6676923076923077,0.07355769230769231,0.061794871794871795,2.81875,0.03964338069761578,0.3384615384615385,13.0,1000.0,13.0,3.0657354239356964
65,3,0.7169230769230769,0.08173076923076923,0.10163392163392164,2.6355769230769233,0.03964338069761578,0.3076923076923077,10.466666666666665,1000.0,10.466666666666665,2.620700200215651
65,4,0.6953846153846154,0.08173076923076923,0.08662892662892661,2.639423076923077,0.036923076923076927,0.3230769230769231,11.333333333333332,1000.0,11.333333333333332,2.7824168527102353
65,5,0.6584615384615384,0.07788461538461539,0.10299145299145296,2.7245192307692307,0.046051167837217744,0.3384615384615385,12.4,1000.0,12.4,2.890906396442891
65,6,0.6923076923076923,0.07163461538461538,0.07401598401598401,2.797596153846154,0.05239811189515817,0.3076923076923077,11.466666666666665,1000.0,11.466666666666665,2.7872188629644645
65,7,0.683076923076923,0.08605769230769231,0.10993613224382455,2.585576923076923,0.028534210755371398,0.3230769230769231,11.733333333333333,1000.0,11.733333333333333,2.86298466111892
65,8,0.6369230769230769,0.0798076923076923,0.04727716727716727,2.7201923076923076,0.07189736274183338,0.35384615384615387,13.73333333333333,1000.0,13.73333333333333,3.1101296526108038
65,9,0.6892307692307692,0.07932692307692307,0.09634920634920636,2.7322115384615384,0.041737415280770886,0.3076923076923077,11.133333333333331,1000.0,11.133333333333331,2.7185589257843636
75,0,0.736,0.07423423423423424,0.07081673881673883,2.671351351351351,0.03900997023554078,0.26666666666666666,11.133333333333333,1000.0,11.133333333333333,2.725483993895806
75,1,0.6746666666666667,0.07855855855855856,0.059773929773929785,2.5945945945945947,0.03330665599145813,0.30666666666666664,14.2,1000.0,14.2,3.1621626670750933
75,2,0.6853333333333333,0.07783783783783783,0.0872275132275132,2.63027027027027,0.02745501370929867,0.32,12.933333333333332,1000.0,12.933333333333332,2.920309525985714
75,3,0.7146666666666667,0.07711711711711712,0.05243171643171643,2.6194594594594593,0.03330665599145812,0.26666666666666666,12.2,1000.0,12.2,2.9093138436092354
75,4,0.664,0.06918918918918919,0.11018389018389017,2.7816216216216216,0.03900997023554078,0.3466666666666667,14.333333333333334,1000.0,14.333333333333334,3.0899426941531374
75,5,0.704,0.07243243243243243,0.04825012025012025,2.716036036036036,0.01959591794226541,0.29333333333333333,13.133333333333331,1000.0,13.133333333333331,3.0546000825965085
75,6,0.6693333333333333,0.06882882882882883,0.04292833092833093,2.799279279279279,0.047253453724451604,0.3333333333333333,14.533333333333331,1000.0,14.533333333333331,3.215340268083266
75,7,0.6933333333333334,0.07243243243243243,0.0694074074074074,2.694774774774775,0.04541169697580374,0.30666666666666664,12.533333333333331,1000.0,12.533333333333331,2.876786721840067
75,8,0.7093333333333334,0.0727927927927928,0.059415103415103435,2.6936936936936937,0.03517574922206111,0.29333333333333333,12.533333333333331,1000.0,12.533333333333331,2.9669925082891537
75,9,0.72,0.07495495495495495,0.08313730713730713,2.6695495495495494,0.036757463338907254,0.28,12.733333333333333,1000.0,12.733333333333333,3.040573750538515
85,0,0.7529411764705882,0.07450980392156863,0.06270650917709741,2.5913165266106444,0.030678599553894816,0.24705882352941178,12.6,1000.0,12.6,3.0366903601072592
85,1,0.691764705882353,0.07282913165266107,0.058671720436426295,2.6170868347338936,0.04550371671956168,0.3058823529411765,14.933333333333332,1000.0,14.933333333333332,3.1992697053352153
85,2,0.6870588235294117,0.06638655462184874,0.04714710126474833,2.7,0.04376723585350182,0.29411764705882354,14.466666666666665,1000.0,14.466666666666665,3.0967128266809048
85,3,0.6847058823529412,0.06638655462184874,0.0877879636703166,2.724089635854342,0.04034453693995822,0.3176470588235294,14.133333333333335,1000.0,14.133333333333335,3.0219678953557083
85,4,0.7341176470588235,0.07198879551820728,0.08260354025059904,2.6523809523809523,0.046822938216782115,0.2823529411764706,13.73333333333333,1000.0,13.73333333333333,3.155758007352064
85,5,0.731764705882353,0.07170868347338935,0.07324662265838736,2.653221288515406,0.03675411612191366,0.27058823529411763,12.733333333333333,1000.0,12.733333333333333,2.9336645481002566
85,6,0.668235294117647,0.06610644257703081,0.0656548680078092,2.7641456582633053,0.03191684697941302,0.35294117647058826,15.866666666666665,1000.0,15.866666666666665,3.2805410423031764
85,7,0.6988235294117647,0.06750700280112044,0.06982938629997451,2.7518207282913165,0.02534195203357414,0.29411764705882354,14.599999999999998,1000.0,14.599999999999998,3.197467844489605
85,8,0.7035294117647058,0.07198879551820728,0.057518886342415754,2.6294117647058823,0.04901803919058743,0.3058823529411765,13.4,1000.0,13.4,2.9352120792595335
85,9,0.7435294117647059,0.0711484593837535,0.07867478926302454,2.645098039215686,0.04489125653726803,0.24705882352941178,11.466666666666667,1000.0,11.466666666666667,2.6954340800719376
95,0,0.7642105263157895,0.0671892497200448,0.08608917398391078,2.656662933930571,0.020627282044489915,0.24210526315789474,12.4,1000.0,12.4,2.864007554728786
95,1,0.7578947368421053,0.06942889137737962,0.0491304017619807,2.643673012318029,0.03585133971773979,0.22105263157894736,13.533333333333331,1000.0,13.533333333333331,3.0906144093945835
95,2,0.7663157894736842,0.07346024636058231,0.05445233129443655,2.5449048152295632,0.0463157894736842,0.21052631578947367,11.933333333333334,1000.0,11.933333333333334,2.7620038742490403
95,3,0.7389473684210526,0.06741321388577827,0.06788030682767524,2.640313549832027,0.029322922688808668,0.2736842105263158,14.399999999999997,1000.0,14.399999999999997,3.169434564697628
95,4,0.7452631578947368,0.07346024636058231,0.0745430008587903,2.5204927211646138,0.02344321836981063,0.2631578947368421,13.666666666666668,1000.0,13.666666666666668,3.0687529787516747
95,5,0.7726315789473684,0.07256438969764838,0.07279685227053642,2.564389697648376,0.019523407358938327,0.23157894736842105,12.133333333333331,1000.0,12.133333333333331,2.8858854959392928
95,6,0.7663157894736842,0.07346024636058231,0.08860823387139177,2.5361702127659576,0.022478059477960666,0.22105263157894736,11.533333333333335,1000.0,11.533333333333335,2.6946917848290197
95,7,0.7663157894736842,0.07390817469204927,0.06352320194425454,2.534154535274356,0.04283576831447537,0.25263157894736843,12.533333333333331,1000.0,12.533333333333331,2.9044812257629977
95,8,0.7536842105263157,0.06898096304591265,0.053107185212448345,2.6134378499440087,0.03859011111541759,0.23157894736842105,13.333333333333332,1000.0,13.333333333333332,3.0311640621839655
95,9,0.7621052631578947,0.07099664053751399,0.09125996466553739,2.6058230683090704,0.01710323874660202,0.23157894736842105,13.599999999999998,1000.0,13.599999999999998,3.1287350633056343
105,0,0.7542857142857142,0.06336996336996337,0.06313147170290023,2.6597069597069596,0.043183939233351,0.24761904761904763,14.2,1000.0,14.2,3.078325231175421
105,1,0.7657142857142857,0.06391941391941391,0.05249707963993676,2.6364468864468864,0.02863485024451982,0.22857142857142856,13.73333333333333,1000.0,13.73333333333333,3.004749555981757
105,2,0.7371428571428571,0.07197802197802197,0.07655444151242466,2.5075091575091575,0.029261507610928033,0.2761904761904762,16.4,1000.0,16.4,3.4118024936071976
105,3,0.7885714285714286,0.07014652014652015,0.09507090514609302,2.5388278388278387,0.023637473611411153,0.20952380952380953,12.2,1000.0,12.2,2.8660699796515243
105,4,0.7980952380952381,0.06648351648351648,0.06086072657501227,2.581868131868132,0.03683634210631183,0.20952380952380953,11.933333333333334,1000.0,11.933333333333334,2.8477357969406305
105,5,0.7828571428571429,0.07307692307692308,0.09592690378404659,2.4866300366300367,0.039681269820951735,0.22857142857142856,13.2,1000.0,13.2,3.0199967935662855
105,6,0.7904761904761904,0.07087912087912088,0.08528307671164811,2.5142857142857142,0.05553287518900288,0.2,13.666666666666666,1000.0,13.666666666666666,3.184923112964042
105,7,0.8114285714285714,0.0728937728937729,0.06608946608946606,2.509157509157509,0.018467351837776494,0.2,12.466666666666665,1000.0,12.466666666666665,3.0972761331274943
105,8,0.7695238095238095,0.06978021978021978,0.08918954061811205,2.5448717948717947,0.022049213148171844,0.21904761904761905,13.533333333333331,1000.0,13.533333333333331,3.0064313797085775
105,9,0.7542857142857142,0.0663003663003663,0.07062323919466774,2.614835164835165,0.02033729190863107,0.24761904761904763,14.466666666666665,1000.0,14.466666666666665,3.157778752196598
115,0,0.8,0.07154843630816171,0.07441671428883703,2.491228070175439,0.014550609157114357,0.2,12.866666666666665,1000.0,12.866666666666665,2.980525715577706
115,1,0.7947826086956522,0.06407322654462243,0.0647810643462817,2.5804729214340196,0.0371376634853263,0.2,12.533333333333331,1000.0,12.533333333333331,2.8097047669755555
115,2,0.7617391304347826,0.06666666666666667,0.07498844151018061,2.531197559115179,0.034608258681969394,0.24347826086956523,15.666666666666666,1000.0,15.666666666666666,3.2642440812489397
115,3,0.8121739130434783,0.06422578184591915,0.07218052478922038,2.579252479023646,0.029921131363626532,0.19130434782608696,12.733333333333333,1000.0,12.733333333333333,3.003820999624095
115,4,0.7860869565217391,0.06864988558352403,0.06508378663110116,2.5257055682684975,0.01043478260869565,0.20869565217391303,13.666666666666666,1000.0,13.666666666666666,2.979248326174292
115,5,0.8034782608695652,0.06819221967963386,0.061122645470471526,2.5180778032036613,0.021013992997555776,0.1826086956521739,12.533333333333333,1000.0,12.533333333333333,2.9046802672704777
115,6,0.817391304347826,0.06971777269260107,0.06515971382979051,2.486651411136537,0.02057766881078127,0.17391304347826086,11.466666666666665,1000.0,11.466666666666665,2.77174357567823
115,7,0.7791304347826087,0.06376811594202898,0.06536960623917144,2.576048817696415,0.016128032166079484,0.22608695652173913,14.866666666666665,1000.0,14.866666666666665,3.265766283755781
115,8,0.8121739130434783,0.07109077040427154,0.07475442431964167,2.479938977879481,0.010434782608695658,0.1826086956521739,10.799999999999999,1000.0,10.799999999999999,2.5551676437371884
