size,k,avg_rate,density,clustering,shortest_path,std_rate,median_rate,n_comp_nodes,avg_steps,avg_l1,avg_l2
5,0,0.5700000000000001,0.6,0.6,1.4,0.11445523142259596,0.4,1.4166666666666665,1000.0,1.4166666666666665,0.9748433800837256
5,1,0.1699999999999997,0.6,0.0,1.4,0.17058722109231983,0.8,2.0666666666666664,1000.0,2.0666666666666664,1.089985965140078
5,2,0.5599999999999999,0.6,0.5333333333333333,1.5,0.07999999999999997,0.4,1.4499999999999997,1000.0,1.4499999999999997,1.0116721005755291
5,3,0.58,0.6,0.5333333333333333,1.5,0.059999999999999984,0.4,1.4666666666666666,1000.0,1.4666666666666666,1.0371206580309749
5,4,0.43000000000000005,0.6,0.3333333333333333,1.4,0.07141428428542848,0.6,1.6833333333333331,1000.0,1.6833333333333331,1.0537127722890842
5,5,0.5799999999999998,0.6,0.6,1.4,0.059999999999999984,0.4,1.3666666666666665,1000.0,1.3666666666666665,0.9534911365271388
5,6,0.57,0.6,0.6,1.4,0.07141428428542848,0.4,1.4499999999999997,1000.0,1.4499999999999997,1.0186926544846184
5,7,0.47,0.6,0.3333333333333333,1.4,0.09539392014169452,0.6,1.6,1000.0,1.6,1.0401050427663903
5,8,0.57,0.6,0.6,1.4,0.07141428428542848,0.4,1.4833333333333332,1000.0,1.4833333333333332,1.0253409392081272
5,9,0.30000000000000004,0.6,0.0,1.4,0.161245154965971,0.7,1.7333333333333336,1000.0,1.7333333333333336,0.9891521159872454
15,0,0.5666666666666667,0.24761904761904763,0.40296296296296297,1.980952380952381,0.07149203529842406,0.43333333333333335,4.066666666666668,1000.0,4.066666666666668,1.655385696837556
15,1,0.5166666666666666,0.24761904761904763,0.26904761904761904,1.9619047619047618,0.06952217871538069,0.4666666666666667,4.750000000000001,1000.0,4.750000000000001,1.8395863630847604
15,2,0.6366666666666667,0.24761904761904763,0.28343915343915344,2.0,0.07446102634562893,0.3333333333333333,3.599999999999999,1000.0,3.599999999999999,1.606353985783636
15,3,0.5566666666666666,0.24761904761904763,0.3495238095238095,2.038095238095238,0.07078920193865101,0.4666666666666667,4.0666666666666655,1000.0,4.0666666666666655,1.6537957087140018
15,4,0.6733333333333333,0.24761904761904763,0.4886243386243386,1.9619047619047618,0.09165151389911681,0.26666666666666666,3.3666666666666663,1000.0,3.3666666666666663,1.5392669010099176
15,5,0.6499999999999999,0.24761904761904763,0.5118518518518518,1.8952380952380952,0.10929064207170001,0.3333333333333333,3.65,1000.0,3.65,1.6114217865027833
15,6,0.7033333333333334,0.24761904761904763,0.5563492063492064,2.0476190476190474,0.08812869377601525,0.26666666666666666,3.25,1000.0,3.25,1.5677053071036813
15,7,0.6433333333333333,0.24761904761904763,0.4496969696969696,1.9238095238095239,0.07965202096899014,0.3333333333333333,3.4333333333333327,1000.0,3.4333333333333327,1.5279581886407985
15,8,0.5933333333333334,0.24761904761904763,0.14984126984126983,1.9904761904761905,0.08666666666666668,0.4,3.9499999999999993,1000.0,3.9499999999999993,1.6702452692077128
15,9,0.6166666666666666,0.24761904761904763,0.36079365079365083,2.038095238095238,0.08660254037844387,0.4,3.766666666666667,1000.0,3.766666666666667,1.6376393678490284
25,0,0.726,0.15333333333333332,0.31163636363636366,2.263333333333333,0.10451794104363135,0.24,4.85,1000.0,4.85,1.9169019232960518
25,1,0.6339999999999999,0.15333333333333332,0.10990476190476191,2.25,0.061024585209569424,0.4,5.999999999999999,1000.0,5.999999999999999,2.07859666837875
25,2,0.614,0.15333333333333332,0.22223088023088022,2.29,0.12729493312775653,0.36,6.1,1000.0,6.1,2.0548351058882686
25,3,0.59,0.15333333333333332,0.30943589743589744,2.216666666666667,0.1116243700990066,0.4,6.633333333333333,1000.0,6.633333333333333,2.1863709769671
25,4,0.6139999999999999,0.15333333333333332,0.2526666666666666,2.31,0.062321745803531524,0.36,6.183333333333333,1000.0,6.183333333333333,2.091768536043675
25,5,0.5780000000000001,0.15333333333333332,0.3643578643578643,2.3,0.09754998718605759,0.42000000000000004,6.733333333333334,1000.0,6.733333333333334,2.183095193105563
25,6,0.6179999999999999,0.15333333333333332,0.1937777777777778,2.31,0.11694443124834976,0.36,5.883333333333333,1000.0,5.883333333333333,2.0060227826411308
25,7,0.5539999999999999,0.15333333333333332,0.29464957264957264,2.263333333333333,0.08511169132381285,0.42000000000000004,6.75,1000.0,6.75,2.1275018157737713
25,8,0.486,0.15333333333333332,0.272,2.29,0.059699246226397204,0.52,7.8166666666666655,1000.0,7.8166666666666655,2.311271253049868
25,9,0.6559999999999999,0.15333333333333332,0.18073015873015874,2.28,0.07418894796396563,0.36,5.6,1000.0,5.6,2.000641699702046
35,0,0.5857142857142857,0.11092436974789915,0.20898783755926612,2.4487394957983195,0.12239114280345084,0.42857142857142855,8.7,1000.0,8.7,2.422014189808796
35,1,0.5514285714285714,0.11092436974789915,0.2786813186813187,2.373109243697479,0.14793821103999563,0.38571428571428573,9.233333333333333,1000.0,9.233333333333333,2.4653654763656254
35,2,0.58,0.11092436974789915,0.09297258297258297,2.534453781512605,0.09218437602800958,0.41428571428571426,8.35,1000.0,8.35,2.32742766656946
35,3,0.4828571428571429,0.11092436974789915,0.08532261389404246,2.5747899159663867,0.06934092056863769,0.5142857142857142,10.399999999999999,1000.0,10.399999999999999,2.627558106031935
35,4,0.6028571428571429,0.11092436974789915,0.21199102484816768,2.4941176470588236,0.08708428945216097,0.41428571428571426,8.3,1000.0,8.3,2.3661221683559086
35,5,0.5585714285714285,0.11092436974789915,0.3316619981325864,2.396638655462185,0.09146204744290923,0.44285714285714284,8.9,1000.0,8.9,2.402585431339928
35,6,0.5385714285714285,0.11092436974789915,0.3325283446712018,2.4168067226890755,0.10889987912513671,0.42857142857142855,9.55,1000.0,9.55,2.5538534419707433
35,7,0.5599999999999999,0.11092436974789915,0.14307977736549166,2.5176470588235293,0.09231711097944863,0.41428571428571426,9.216666666666665,1000.0,9.216666666666665,2.5016101026154716
35,8,0.5157142857142858,0.11092436974789915,0.16576376004947435,2.5798319327731094,0.08304166645333497,0.5,9.466666666666665,1000.0,9.466666666666665,2.456902025520096
35,9,0.47285714285714286,0.11092436974789915,0.2508754410855252,2.4285714285714284,0.09582083621562287,0.5142857142857142,10.083333333333334,1000.0,10.083333333333334,2.491723984202525
45,0,0.49111111111111116,0.08686868686868687,0.24893217893217892,2.6303030303030304,0.08886110676947648,0.5,13.216666666666665,1000.0,13.216666666666665,2.9677299990780583
45,1,0.4866666666666667,0.08686868686868687,0.13831522507993094,2.591919191919192,0.08131633094903107,0.5111111111111111,12.433333333333334,1000.0,12.433333333333334,2.7855073127796772
45,2,0.4933333333333334,0.08686868686868687,0.1152314352314352,2.672727272727273,0.1005171811368768,0.5222222222222221,12.949999999999998,1000.0,12.949999999999998,2.9156126036382295
45,3,0.5522222222222222,0.08686868686868687,0.10465768799102133,2.7545454545454544,0.0714142842854285,0.4444444444444444,11.733333333333333,1000.0,11.733333333333333,2.7790416539986524
45,4,0.4800000000000001,0.08686868686868687,0.30271889838556504,2.3767676767676766,0.12578641509408806,0.5444444444444445,13.116666666666665,1000.0,13.116666666666665,2.8998987257728457
45,5,0.4788888888888889,0.08686868686868687,0.2175785459843431,2.573737373737374,0.09282267709302532,0.5333333333333333,13.066666666666668,1000.0,13.066666666666668,2.9078650440045255
45,6,0.4411111111111111,0.08686868686868687,0.21131254061078622,2.597979797979798,0.07802342161804784,0.5666666666666667,14.0,1000.0,14.0,3.0195940625059974
45,7,0.5133333333333334,0.08686868686868687,0.1540788840788841,2.585858585858586,0.11608851454763533,0.5444444444444445,12.283333333333333,1000.0,12.283333333333333,2.8207988322303477
45,8,0.468888888888889,0.08686868686868687,0.25940485765047167,2.585858585858586,0.07499794235860534,0.5444444444444445,13.149999999999997,1000.0,13.149999999999997,2.903781749202947
45,9,0.4255555555555557,0.08686868686868687,0.23007400007400006,2.503030303030303,0.11827463332806783,0.6222222222222222,13.6,1000.0,13.6,2.8741349163930594
55,0,0.4563636363636363,0.07138047138047138,0.23739409728714542,2.6215488215488216,0.09428285209064852,0.5454545454545454,16.500000000000004,1000.0,16.500000000000004,3.237853049760208
55,1,0.5045454545454546,0.07138047138047138,0.10467401285583104,2.7973063973063974,0.08408476636040738,0.509090909090909,15.566666666666668,1000.0,15.566666666666668,3.2020488472384065
55,2,0.44000000000000006,0.07138047138047138,0.16936941846032755,2.7696969696969695,0.07640691414345709,0.5727272727272728,16.55,1000.0,16.55,3.2134417013136685
55,3,0.37909090909090915,0.07138047138047138,0.2638268398268398,2.581818181818182,0.06809691683655458,0.6454545454545455,18.216666666666665,1000.0,18.216666666666665,3.3766072451663005
55,4,0.44272727272727264,0.07138047138047138,0.12686413002202476,2.696969696969697,0.07972576965515879,0.5545454545454545,16.03333333333333,1000.0,16.03333333333333,3.1206872015695875
55,5,0.4672727272727273,0.07138047138047138,0.20515978531788806,2.744107744107744,0.09826595721361205,0.5636363636363636,15.933333333333328,1000.0,15.933333333333328,3.1688048634057515
55,6,0.4518181818181818,0.07138047138047138,0.26810800257690215,2.5245791245791245,0.10988724499035478,0.5727272727272728,16.333333333333332,1000.0,16.333333333333332,3.185833462289417
55,7,0.4790909090909091,0.07138047138047138,0.11535905271199388,2.725925925925926,0.06929992307963245,0.5363636363636364,15.583333333333334,1000.0,15.583333333333334,3.134184171206557
55,8,0.479090909090909,0.07138047138047138,0.1542030696576151,2.76026936026936,0.07804957102502282,0.5272727272727272,15.933333333333334,1000.0,15.933333333333334,3.2108078836471536
55,9,0.46090909090909093,0.07138047138047138,0.1422320994513508,2.6996632996632997,0.04609548121486262,0.5272727272727272,16.28333333333333,1000.0,16.28333333333333,3.2378297764474935
65,0,0.49230769230769234,0.06057692307692308,0.1343789543789544,2.816826923076923,0.09644571088404602,0.5230769230769231,18.78333333333333,1000.0,18.78333333333333,3.51234963993112
