gameId,size,#short_cut,#solutions,clustering,shortest_path,transitivity
0,20,0,20736,0.403495671,1.873684211,0.326086957
1,20,0,84744,0.326143579,1.894736842,0.28125
2,20,0,18432,0.538887224,1.815789474,0.334365325
3,20,0,137184,0.336150794,1.878947368,0.270676692
4,20,0,80616,0.309083694,1.878947368,0.288461538
5,20,0,23808,0.407783883,1.847368421,0.31372549
6,20,0,1728,0.499639805,1.831578947,0.359621451
7,20,0,15216,0.505323843,1.852631579,0.336734694
8,20,0,193728,0.315515873,1.942105263,0.253012048
9,20,0,150432,0.296341991,1.863157895,0.24
10,20,0,21600,0.332287157,1.889473684,0.296577947
11,20,0,33120,0.351984127,1.905263158,0.297619048
12,20,0,14976,0.510606061,1.857894737,0.347682119
13,20,0,44448,0.364430014,1.884210526,0.316363636
14,20,0,46848,0.367313797,1.842105263,0.3
15,20,0,8640,0.418477633,1.931578947,0.350943396
16,20,0,35088,0.401500722,1.852631579,0.28057554
17,20,0,75840,0.355396825,1.915789474,0.301115242
18,20,0,35328,0.474733045,1.831578947,0.304195804
19,20,0,204720,0.312193362,1.852631579,0.226415094
20,20,0,39168,0.338640526,1.873684211,0.303135889
21,20,0,175488,0.424880952,1.868421053,0.278571429
22,20,0,21792,0.384236874,1.847368421,0.301075269
23,20,0,49344,0.345952381,1.905263158,0.301158301
24,20,0,28368,0.363968254,1.915789474,0.305660377
25,20,0,8640,0.459830447,1.847368421,0.317406143
26,20,0,47016,0.245952381,1.857894737,0.260377358
27,20,0,4320,0.440726496,1.826315789,0.319354839
28,20,0,26304,0.395161783,1.889473684,0.301075269
29,20,0,23616,0.447305195,1.863157895,0.325423729
30,20,0,74112,0.34952381,1.868421053,0.270676692
31,20,0,35856,0.425675991,1.868421053,0.3
32,20,0,81312,0.422753358,1.805263158,0.28125
33,20,0,76800,0.386717172,1.836842105,0.280276817
34,20,0,241152,0.303214286,1.878947368,0.240458015
35,20,0,30528,0.400443723,1.863157895,0.302083333
36,20,0,34560,0.362921245,1.836842105,0.2909699
37,20,0,21552,0.266150794,1.889473684,0.277108434
38,20,0,131832,0.244569597,1.842105263,0.229090909
39,20,0,6912,0.461919192,1.915789474,0.373737374
40,20,0,82944,0.353149351,1.9,0.310714286
41,20,0,47568,0.376877289,1.868421053,0.307692308
42,20,0,166464,0.320880231,1.863157895,0.264084507
43,20,0,1152,0.52033189,1.847368421,0.361204013
44,20,0,27576,0.328492063,1.894736842,0.298804781
45,20,0,82176,0.311984127,1.905263158,0.283464567
46,20,0,9144,0.336111111,1.884210526,0.319852941
47,20,0,16848,0.451014264,1.857894737,0.325423729
48,20,0,7296,0.483908591,1.847368421,0.328767123
49,20,0,11664,0.456038961,1.842105263,0.310344828
50,20,0,23040,0.384040404,1.889473684,0.335820896
51,20,0,29376,0.448686869,1.826315789,0.296928328
52,20,0,142272,0.347813853,1.873684211,0.285714286
53,20,0,3648,0.328106061,1.831578947,0.293706294
54,20,0,47616,0.396419414,1.831578947,0.274647887
55,20,0,29448,0.446272894,1.847368421,0.310344828
56,20,0,133488,0.371219336,1.9,0.307420495
57,20,0,35904,0.386578144,1.852631579,0.298932384
58,20,0,7488,0.43799062,1.852631579,0.321799308
59,20,0,281664,0.327063492,1.905263158,0.283636364
60,20,0,104928,0.374025974,1.931578947,0.29787234
61,20,0,44496,0.368560606,1.863157895,0.294339623
62,20,0,9408,0.509659197,1.794736842,0.331230284
63,20,0,1728,0.493772894,1.889473684,0.38028169
64,20,0,40992,0.359393939,1.910526316,0.311111111
65,20,0,109632,0.407853535,1.894736842,0.292418773
66,20,0,112704,0.369177489,1.831578947,0.259927798
67,20,0,12672,0.499688375,1.794736842,0.324590164
68,20,0,70320,0.45797619,1.784210526,0.283387622
69,20,0,25920,0.379938672,1.889473684,0.307167235
70,20,0,31680,0.402604618,1.9,0.332142857
71,20,0,79104,0.208109668,1.847368421,0.218390805
72,20,0,37440,0.343214286,1.894736842,0.289655172
73,20,0,50304,0.404332612,1.894736842,0.293233083
74,20,0,61056,0.359675325,1.910526316,0.304511278
75,20,0,20736,0.375598291,1.884210526,0.322916667
76,20,0,51456,0.445277778,1.873684211,0.31294964
77,20,0,43776,0.408263126,1.842105263,0.30794702
78,20,0,28320,0.375238095,1.863157895,0.303501946
79,20,0,59904,0.484989177,1.921052632,0.327067669
80,20,0,107712,0.308412698,1.915789474,0.260869565
81,20,0,22704,0.408982684,1.842105263,0.30794702
82,20,0,76416,0.419141414,1.873684211,0.296819788
83,20,0,8688,0.55905303,1.810526316,0.337620579
84,20,0,63936,0.400204518,1.852631579,0.305263158
85,20,0,29808,0.461468254,1.852631579,0.319587629
86,20,0,13824,0.546177989,1.784210526,0.294642857
87,20,0,14400,0.431111111,1.9,0.323420074
88,20,0,16800,0.435155678,1.878947368,0.302158273
89,20,0,12960,0.313232323,1.921052632,0.317518248
90,20,0,39696,0.393217893,1.863157895,0.283018868
91,20,0,89304,0.387179487,1.836842105,0.282229965
92,20,0,139776,0.287301587,1.863157895,0.224719101
