size,k,avg_rate,avg_density,avg_clustering,avg_shortest_path,avg_std_rate,avg_median_rate,avg_incomp_nodes,avg_n_comp_nodes,avg_steps
5,0,0.1200000000000001,0.4,0.0,2.0,0.0,1.0,4.3999999999999995,2.533333333333333,1000.0
5,1,0.15999999999999992,0.4,0.0,1.8,0.0,0.8,4.2,2.333333333333333,1000.0
5,2,0.15999999999999992,0.4,0.0,1.6,0.0,0.8,4.2,1.8666666666666665,1000.0
5,3,0.19999999999999996,0.4,0.0,1.8,0.0,0.8,4.0,2.533333333333333,1000.0
5,4,0.48,0.5,0.4666666666666666,1.7,0.0,0.6,2.6,1.7999999999999996,1000.0
5,5,0.19999999999999996,0.4,0.0,1.8,0.0,0.8,4.0,2.8000000000000003,1000.0
5,6,0.23999999999999988,0.4,0.0,2.0,0.0,0.8,3.8000000000000007,2.4666666666666663,1000.0
5,7,0.15999999999999992,0.4,0.0,1.8,0.0,0.8,4.2,2.4,1000.0
5,8,0.23999999999999988,0.4,0.0,1.8,0.0,0.8,3.8000000000000007,2.733333333333333,1000.0
5,9,0.08000000000000007,0.4,0.0,1.8,0.0,1.0,4.6,2.6666666666666665,1000.0
15,0,0.3866666666666667,0.17142857142857143,0.06444444444444444,2.5142857142857142,0.0,0.6,9.2,5.933333333333334,1000.0
15,1,0.45333333333333337,0.18095238095238095,0.23333333333333336,2.380952380952381,0.0,0.5333333333333333,8.2,4.933333333333334,1000.0
15,2,0.4,0.18095238095238095,0.1511111111111111,2.6285714285714286,0.0,0.6,9.0,6.2,1000.0
15,3,0.33333333333333337,0.18095238095238095,0.12412698412698413,2.638095238095238,0.0,0.6,10.0,5.6,1000.0
15,4,0.36,0.1619047619047619,0.09126984126984126,2.4761904761904763,0.0,0.6,9.6,6.266666666666667,1000.0
15,5,0.41333333333333333,0.18095238095238095,0.03777777777777778,2.5714285714285716,0.0,0.5333333333333333,8.8,5.0666666666666655,1000.0
15,6,0.3600000000000001,0.18095238095238095,0.0,2.533333333333333,0.0,0.6666666666666666,9.599999999999998,6.199999999999999,1000.0
