size,k,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate,ave_incomp_nodes,ave_steps
5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5000.0
6,4,0.7544,0.8000000000000002,0.6666666666666667,1.2,0.03488036697054665,0.0,1.4736000000000002,1412.1068
7,4,0.9231999999999999,0.6666666666666667,0.5,1.3333333333333335,0.031076679359288033,0.0,0.5376,1699.8180000000002
8,4,0.9672,0.5714285714285714,0.5,1.4285714285714286,0.011838918869559005,0.0,0.2624,1782.5492000000002
9,4,0.9767999999999999,0.5,0.5,1.5,0.016666133324799742,0.0,0.2088,2084.9596
10,4,0.9800000000000001,0.4444444444444444,0.5,1.6666666666666665,0.01131370849898477,0.0,0.2,1098.4560000000001
11,4,0.986,0.4000000000000001,0.5,1.8,0.01019803902718558,0.0,0.154,1197.7579999999998
12,4,0.9863999999999998,0.3636363636363636,0.5,1.9090909090909092,0.010537551897855602,0.0,0.1632,917.7543999999999
13,4,0.9932,0.33333333333333337,0.5,2.0,0.006144916598294892,0.0,0.08839999999999999,1085.5548
14,4,0.9924,0.3076923076923077,0.5,2.1538461538461537,0.00813879597975033,0.0,0.10640000000000001,668.0751999999999
15,4,0.9952000000000001,0.2857142857142857,0.5,2.2857142857142856,0.008541662601625057,0.0,0.072,794.6676000000001
16,4,0.9972,0.26666666666666666,0.5,2.4,0.005306599664568644,0.0,0.044800000000000006,564.1956
17,4,0.996,0.25,0.5,2.5,0.006324555320336764,0.0,0.068,585.0336
18,4,0.9980000000000001,0.2352941176470588,0.5,2.6470588235294117,0.0040000000000000036,0.0,0.036000000000000004,445.85839999999996
19,4,0.9987999999999999,0.2222222222222222,0.5,2.7777777777777772,0.004308131845707607,0.0,0.0228,564.9804
20,4,0.9987999999999999,0.21052631578947367,0.5,2.894736842105263,0.0032496153618543876,0.0,0.024000000000000004,344.1764
21,4,1.0,0.20000000000000004,0.5,3.0,0.0,0.0,0.0,476.86439999999993
22,4,0.9992,0.19047619047619047,0.5,3.142857142857143,0.00271293199325011,0.0,0.0176,364.1232
23,4,1.0,0.1818181818181818,0.5,3.2727272727272725,0.0,0.0,0.0,414.0272
24,4,0.9996,0.17391304347826086,0.5,3.3913043478260874,0.0019595917942265445,0.0,0.0096,278.774
25,4,0.9996,0.16666666666666669,0.5,3.5,0.0019595917942265445,0.0,0.01,316.628
26,4,1.0,0.16,0.5,3.64,0.0,0.0,0.0,249.262
27,4,1.0,0.15384615384615385,0.5,3.769230769230769,0.0,0.0,0.0,323.874
28,4,1.0,0.14814814814814814,0.5,3.8888888888888884,0.0,0.0,0.0,210.2152
29,4,0.9987999999999999,0.14285714285714285,0.5,4.0,0.0032496153618543876,0.0,0.0348,245.0228
30,4,0.9996,0.13793103448275862,0.5,4.137931034482759,0.0019595917942265445,0.0,0.012,227.842
31,4,1.0,0.13333333333333333,0.5,4.266666666666667,0.0,0.0,0.0,221.4716
32,4,1.0,0.12903225806451613,0.5,4.387096774193548,0.0,0.0,0.0,211.23159999999996
33,4,1.0,0.125,0.5,4.5,0.0,0.0,0.0,218.95
34,4,0.9992,0.12121212121212122,0.5,4.636363636363637,0.00271293199325011,0.0,0.027200000000000002,226.0784
35,4,1.0,0.1176470588235294,0.5,4.764705882352941,0.0,0.0,0.0,260.8036
36,4,1.0,0.11428571428571428,0.5,4.885714285714286,0.0,0.0,0.0,240.1164
37,4,1.0,0.1111111111111111,0.5,5.0,0.0,0.0,0.0,257.46479999999997
38,4,1.0,0.1081081081081081,0.5,5.135135135135135,0.0,0.0,0.0,249.1924
39,4,0.9996,0.10526315789473684,0.5,5.2631578947368425,0.0019595917942265445,0.0,0.015600000000000001,260.16720000000004
40,4,1.0,0.10256410256410257,0.5,5.384615384615384,0.0,0.0,0.0,255.8068
41,4,1.0,0.10000000000000002,0.5,5.5,0.0,0.0,0.0,280.9016
42,4,0.9996,0.09756097560975611,0.5,5.634146341463414,0.0019595917942265445,0.0,0.0168,283.7672
43,4,1.0,0.09523809523809523,0.5,5.761904761904762,0.0,0.0,0.0,291.41319999999996
44,4,1.0,0.09302325581395349,0.5,5.883720930232559,0.0,0.0,0.0,288.652
45,4,0.9996,0.0909090909090909,0.5,6.0,0.0019595917942265445,0.0,0.018000000000000002,306.138
46,4,1.0,0.08888888888888889,0.5,6.133333333333334,0.0,0.0,0.0,310.0816
47,4,1.0,0.08695652173913043,0.5,6.2608695652173925,0.0,0.0,0.0,327.8772
48,4,1.0,0.0851063829787234,0.5,6.382978723404254,0.0,0.0,0.0,321.4668
49,4,1.0,0.08333333333333334,0.5,6.5,0.0,0.0,0.0,344.0636
50,4,1.0,0.0816326530612245,0.5,6.632653061224491,0.0,0.0,0.0,328.9724
6,5,0.7539999999999999,0.8000000000000002,0.6666666666666667,1.2,0.04298837052040937,0.0,1.4760000000000002,1420.1547999999998
7,5,0.9259999999999999,0.6666666666666667,0.5,1.3333333333333335,0.02383275057562595,0.0,0.518,1616.1900000000003
8,5,0.9755999999999999,0.5714285714285714,0.5,1.4285714285714286,0.012986146464598352,0.0,0.19520000000000004,1820.1188
9,5,0.9752000000000001,0.5,0.5,1.5,0.01203993355463394,0.0,0.22320000000000004,2178.4292
10,5,0.9827999999999999,0.4444444444444444,0.5,1.6666666666666665,0.012812493902437586,0.0,0.172,921.99
11,5,0.9864,0.4000000000000001,0.5,1.8,0.014108153670838732,0.0,0.1496,1292.9492
12,5,0.9876,0.3636363636363636,0.5,1.9090909090909092,0.00813879597975033,0.0,0.1488,1051.7684
13,5,0.9928,0.33333333333333337,0.5,2.0,0.007756287771866133,0.0,0.09359999999999999,1079.5151999999998
14,5,0.9972,0.3076923076923077,0.5,2.1538461538461537,0.004489988864128734,0.0,0.039200000000000006,713.4859999999999
15,5,0.9972,0.2857142857142857,0.5,2.2857142857142856,0.004489988864128734,0.0,0.041999999999999996,751.9055999999999
16,5,0.9996,0.26666666666666666,0.5,2.4,0.0019595917942265445,0.0,0.0064,549.0056
17,5,0.9964,0.25,0.5,2.5,0.005571355310873652,0.0,0.061200000000000004,739.1367999999999
