gameId,size,#short_cut,#solutions,clutering,shortest_path,ave_rate,std_rate,median_rate
422,42,0,6,0.4603174603174603,4.159117305458769,29.09,5.18863180424281,28.0
423,42,0,6,0.42857142857142855,3.9663182346109176,28.39,7.569537634492611,33.0
424,42,0,6,0.41666666666666674,3.9639953542392568,26.73,6.420054516902485,31.0
425,42,0,6,0.42857142857142855,4.349593495934959,24.38,6.220578751209568,21.0
426,42,0,6,0.42857142857142855,4.167247386759582,25.91,7.718931273175063,20.0
427,42,0,6,0.4642857142857143,4.723577235772358,19.73,5.445833269574088,15.0
428,42,0,6,0.4047619047619048,3.916376306620209,22.83,13.924119361740617,31.0
429,42,0,6,0.45238095238095244,4.909407665505227,10.11,5.433037824274741,11.0
430,42,0,6,0.4404761904761906,4.231126596980255,26.0,5.4,21.0
431,42,0,6,0.41666666666666674,4.170731707317073,20.3,10.213226718329521,25.0
432,42,0,6,0.4285714285714285,3.977932636469222,30.1,2.598076211353316,31.0
433,42,0,6,0.4523809523809524,4.199767711962834,26.92,5.6845052555169655,22.0
434,42,0,6,0.4404761904761906,3.975609756097561,27.36,2.496076921891631,27.0
435,42,0,6,0.43650793650793657,4.471544715447155,24.93,6.307543103301,20.0
436,42,0,6,0.4166666666666667,4.5667828106852495,20.74,9.691872884019887,15.0
437,42,0,6,0.4325396825396825,4.54006968641115,22.12,4.46156923066313,19.0
438,42,0,6,0.40476190476190477,3.9012775842044136,31.0,3.1874754901018454,31.0
439,42,0,6,0.4404761904761906,4.493612078977932,22.5,7.692203845452875,17.0
440,42,0,6,0.47222222222222227,4.823461091753774,16.32,12.139093870631365,22.0
441,42,0,6,0.4047619047619048,4.7770034843205575,17.04,9.262742574421466,13.0
442,42,0,6,0.40476190476190477,4.038327526132404,28.22,3.5737375393276998,27.0
443,42,0,6,0.44047619047619047,4.1138211382113825,20.36,10.166139877062486,28.0
444,42,0,6,0.39285714285714285,3.9767711962833916,28.93,7.78364310589842,32.0
445,42,0,6,0.42857142857142855,3.977932636469222,30.39,4.810187106547935,31.0
446,42,0,6,0.4166666666666667,4.307781649245064,23.97,3.4072129372846653,22.0
447,42,0,6,0.4166666666666666,4.427409988385598,22.22,8.394736446130992,17.0
448,42,0,6,0.4523809523809524,4.718931475029036,19.77,9.122340708392777,14.0
449,42,0,6,0.4166666666666667,3.8710801393728222,28.76,2.6948840420322355,29.0
450,42,0,6,0.4523809523809524,4.8826945412311265,10.64,5.979163821137535,14.0
451,42,0,6,0.4484126984126984,4.630662020905923,28.71,3.581326569862068,28.0
452,42,0,6,0.4285714285714285,4.166085946573752,23.95,8.255149907784837,23.0
453,42,0,6,0.40476190476190477,4.2264808362369335,26.76,8.432223905945571,19.0
454,42,0,6,0.40873015873015883,3.9523809523809526,29.96,4.8019162841515675,31.0
455,42,0,6,0.4166666666666667,3.8583042973286874,33.03,2.4958164996649894,33.0
456,42,0,6,0.42857142857142866,4.334494773519164,24.63,8.32064300399915,18.0
457,42,0,6,0.42857142857142855,3.9965156794425085,22.85,9.813638468987943,27.0
458,42,0,6,0.4404761904761906,4.184668989547038,18.6,9.691233151668575,23.0
459,42,0,6,0.42857142857142855,4.124274099883856,21.91,9.536346260492012,28.0
460,42,0,6,0.44047619047619047,4.067363530778165,22.9,5.23354564325181,22.0
461,42,0,6,0.40476190476190466,4.120789779326365,24.92,5.642127258401746,27.0
462,42,0,6,0.4166666666666666,3.786295005807201,27.02,6.98423940024968,31.0
463,42,0,6,0.43650793650793646,4.37862950058072,23.29,5.2426996862303685,23.0
464,42,0,6,0.4523809523809523,4.860627177700349,6.82,12.841635409868948,0.0
465,42,0,6,0.40476190476190477,4.040650406504065,27.82,4.611680821566037,26.0
466,42,0,6,0.4642857142857143,4.704994192799071,19.23,7.630013106148639,19.0
467,42,0,6,0.4404761904761904,4.655052264808362,18.24,9.089686463239532,13.0
468,42,0,6,0.39285714285714285,4.394889663182346,24.04,7.099183051591218,24.0
469,42,0,6,0.42857142857142866,4.439024390243903,24.8,4.963869458396343,24.0
470,42,0,6,0.40476190476190477,3.8710801393728222,30.77,3.1108037546589142,32.0
471,42,0,6,0.39682539682539686,3.923344947735192,27.05,7.392394740542472,31.0
472,42,0,6,0.40476190476190477,4.191637630662021,20.21,11.20561912613489,24.0
473,42,0,6,0.4166666666666667,4.1068524970963995,27.77,4.458374143115402,24.0
474,42,0,6,0.4642857142857143,4.304297328687572,25.78,3.7137043501065072,28.0
475,42,0,6,0.43650793650793657,4.29732868757259,24.36,4.588071490288703,21.0
476,42,0,6,0.3730158730158731,3.8315911730545875,30.8,3.0561413579872245,31.0
477,42,0,6,0.44047619047619047,3.9744483159117308,29.04,2.9014479144041165,30.0
478,42,0,6,0.39285714285714285,4.333333333333333,30.38,3.585470680398879,28.0
479,42,0,6,0.3928571428571428,3.6399535423925666,31.0,2.3151673805580453,31.0
