size,k,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate

5,4,1.0,1.0,1.0,1.0,0.0,0.0

6,4,0.7515999999999999,0.8000000000000002,0.6666666666666667,1.2,0.043144408675980274,0.0

7,4,0.9259999999999999,0.6666666666666667,0.5,1.3333333333333335,0.027568097504180426,0.0

8,4,0.9712,0.5714285714285714,0.5,1.4285714285714286,0.017045820602130016,0.0

9,4,0.9755999999999999,0.5,0.5,1.5,0.016752313273097553,0.0

10,4,0.9783999999999999,0.4444444444444444,0.5,1.6666666666666665,0.014333178293735148,0.0

11,4,0.9867999999999999,0.4000000000000001,0.5,1.8,0.011565465835840779,0.0

12,4,0.9887999999999999,0.3636363636363636,0.5,1.9090909090909092,0.007652450587883603,0.0

13,4,0.9915999999999999,0.33333333333333337,0.5,2.0,0.010836973747315263,0.0

14,4,0.996,0.3076923076923077,0.5,2.1538461538461537,0.006324555320336764,0.0

15,4,0.9956,0.2857142857142857,0.5,2.2857142857142856,0.0057131427428342854,0.0

16,4,0.9972,0.26666666666666666,0.5,2.4,0.005306599664568644,0.0

17,4,0.9987999999999999,0.25,0.5,2.5,0.0032496153618543876,0.0

18,4,0.9987999999999999,0.2352941176470588,0.5,2.6470588235294117,0.004308131845707607,0.0

19,4,0.9987999999999999,0.2222222222222222,0.5,2.7777777777777772,0.0032496153618543876,0.0

20,4,0.9992,0.21052631578947367,0.5,2.894736842105263,0.00271293199325011,0.0

21,4,0.9987999999999999,0.20000000000000004,0.5,3.0,0.0032496153618543876,0.0

22,4,0.9987999999999999,0.19047619047619047,0.5,3.142857142857143,0.0032496153618543876,0.0

23,4,1.0,0.1818181818181818,0.5,3.2727272727272725,0.0,0.0

24,4,0.9996,0.17391304347826086,0.5,3.3913043478260874,0.0019595917942265445,0.0

25,4,1.0,0.16666666666666669,0.5,3.5,0.0,0.0

26,4,0.9992,0.16,0.5,3.64,0.00271293199325011,0.0

27,4,1.0,0.15384615384615385,0.5,3.769230769230769,0.0,0.0

28,4,1.0,0.14814814814814814,0.5,3.8888888888888884,0.0,0.0

29,4,0.9996,0.14285714285714285,0.5,4.0,0.0019595917942265445,0.0

30,4,0.9996,0.13793103448275862,0.5,4.137931034482759,0.0019595917942265445,0.0

31,4,1.0,0.13333333333333333,0.5,4.266666666666667,0.0,0.0

