gameId,size,#short_cut,#solutions,clutering,shortest_path,ave_rate,std_rate,median_rate
0,42,0,6,0.4642857142857142,4.751451800232288,17.51,5.77147294891001,14.0
1,42,0,6,0.4642857142857143,4.7526132404181185,0.0,0.0,0.0
2,42,0,6,0.4761904761904763,4.670150987224158,10.0,12.24744871391589,0.0
3,42,0,6,0.4642857142857142,4.668989547038327,20.22,3.488782022425591,17.0
4,42,0,6,0.4642857142857143,5.120789779326365,0.0,0.0,0.0
