size,k,avg_rate,avg_density,avg_clustering,avg_shortest_path,avg_std_rate,avg_median_rate,avg_incomp_nodes,avg_n_comp_nodes,avg_steps
10,0,0.86,0.35555555555555557,0.6119047619047618,1.6666666666666667,0.0,0.1,1.4000000000000004,0.4666666666666666,0.3885618083164126,5000.0
10,1,0.87,0.35555555555555557,0.5478571428571428,1.6666666666666667,0.0,0.1,1.3000000000000003,0.45000000000000007,0.39142135623730945,5000.0
10,2,0.7999999999999999,0.35555555555555557,0.31333333333333335,1.7777777777777777,0.0,0.2,2.0000000000000004,0.6999999999999998,0.4987996679619215,5000.0
10,3,0.865,0.35555555555555557,0.5366666666666667,1.8222222222222222,0.0,0.1,1.3500000000000003,0.45,0.38165824894352773,5000.0
10,4,0.7999999999999999,0.35555555555555557,0.48999999999999994,1.7777777777777777,0.0,0.2,2.0000000000000004,0.7333333333333332,0.5261948151328113,5000.0
10,5,0.9,0.35555555555555557,0.6527777777777778,1.6444444444444444,0.0,0.1,1.0000000000000002,0.3666666666666666,0.3666666666666666,5000.0
10,6,0.9349999999999999,0.35555555555555557,0.6514285714285715,1.6666666666666667,0.0,0.1,0.6500000000000001,0.24999999999999994,0.24999999999999994,3263.75
10,7,0.885,0.35555555555555557,0.2966666666666667,1.8222222222222222,0.0,0.1,1.1500000000000004,0.39999999999999997,0.3284457050376173,4009.4
10,8,0.9,0.35555555555555557,0.6594444444444444,1.6444444444444444,0.0,0.1,1.0000000000000002,0.3499999999999999,0.3499999999999999,5000.0
10,9,0.9,0.35555555555555557,0.5014285714285714,1.6888888888888889,0.0,0.1,1.0000000000000002,0.3666666666666666,0.3666666666666666,5000.0
10,10,0.9299999999999999,0.35555555555555557,0.6271428571428571,1.7333333333333334,0.0,0.1,0.7000000000000002,0.2333333333333333,0.2333333333333333,3516.55
10,11,0.62,0.35555555555555557,0.19333333333333333,1.8,0.0,0.4,3.8,1.3333333333333333,0.6879483214528692,5000.0
10,12,0.9349999999999999,0.35555555555555557,0.6514285714285715,1.6666666666666667,0.0,0.1,0.6500000000000001,0.2333333333333333,0.2333333333333333,3266.4
10,13,1.0,0.35555555555555557,0.4571428571428572,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,67.65
10,14,0.7999999999999999,0.35555555555555557,0.4699999999999999,1.8,0.0,0.2,2.0000000000000004,0.7166666666666666,0.5124972415473664,5000.0
11,0,0.9363636363636364,0.32727272727272727,0.6085858585858586,1.7454545454545454,0.0,0.09090909090909091,0.7,0.2333333333333333,0.2333333333333333,3518.15
11,1,0.9090909090909091,0.32727272727272727,0.390909090909091,1.981818181818182,0.0,0.09090909090909091,1.0,0.3666666666666666,0.26309740756640565,2519.8
11,2,0.8181818181818182,0.32727272727272727,0.36406926406926404,1.8181818181818181,0.0,0.18181818181818182,1.9999999999999998,0.6999999999999998,0.4987996679619215,5000.0
11,3,0.8181818181818182,0.32727272727272727,0.4934343434343434,1.7818181818181817,0.0,0.18181818181818182,1.9999999999999998,0.7,0.4987996679619215,5000.0
11,4,0.9409090909090909,0.32727272727272727,0.4121212121212121,1.8363636363636364,0.0,0.0,0.6499999999999999,0.21666666666666665,0.16785113019775794,2583.6
11,5,0.8181818181818182,0.32727272727272727,0.5085858585858586,1.7454545454545454,0.0,0.18181818181818182,1.9999999999999998,0.7166666666666666,0.5124972415473664,5000.0
11,6,0.7590909090909091,0.32727272727272727,0.31601731601731603,1.7636363636363637,0.0,0.2727272727272727,2.6499999999999995,0.9,0.5505636377448676,5000.0
11,7,0.8500000000000001,0.32727272727272727,0.27056277056277056,1.8,0.0,0.18181818181818182,1.6499999999999997,0.5666666666666667,0.43677717876628225,5000.0
11,8,0.7454545454545455,0.32727272727272727,0.2824675324675324,1.709090909090909,0.0,0.2727272727272727,2.8,0.9333333333333333,0.5480164334667307,5000.0
11,9,0.9727272727272728,0.32727272727272727,0.6316017316017316,1.8,0.0,0.0,0.30000000000000004,0.09999999999999999,0.09999999999999999,1522.25
11,10,0.8090909090909091,0.32727272727272727,0.22121212121212122,1.8727272727272728,0.0,0.18181818181818182,2.0999999999999996,0.7,0.4739677358661149,5000.0
11,11,0.8272727272727273,0.32727272727272727,0.4281385281385281,1.7636363636363637,0.0,0.18181818181818182,1.8999999999999997,0.6333333333333332,0.451172314233441,5000.0
