size,k,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate,ave_incomp_nodes,ave_steps
10,9,0.9675999999999999,0.8888888888888888,0.8571428571428571,1.1111111111111112,0.018391302292116257,0.0,0.324,2323.5447999999997
11,9,0.9964,0.8000000000000002,0.75,1.2,0.004800000000000005,0.0,0.039599999999999996,2752.2732
12,9,0.9996,0.7272727272727272,0.6785714285714286,1.2727272727272727,0.0019595917942265445,0.0,0.0048,3276.468
13,9,0.9992,0.6666666666666667,0.642857142857143,1.3333333333333335,0.003919183588453088,0.0,0.0104,3176.3919999999994
14,9,0.9992,0.6153846153846154,0.642857142857143,1.3846153846153846,0.00271293199325011,0.0,0.011200000000000002,2650.1504
15,9,1.0,0.5714285714285714,0.6428571428571429,1.4285714285714286,0.0,0.0,0.0,3125.4488
16,9,0.9996,0.5333333333333333,0.6428571428571429,1.4666666666666666,0.0019595917942265445,0.0,0.0064,3348.8919999999994
17,9,0.9996,0.5,0.6428571428571429,1.5,0.0019595917942265445,0.0,0.0068000000000000005,3453.0516000000002
18,9,1.0,0.4705882352941176,0.6428571428571428,1.588235294117647,0.0,0.0,0.0,2590.5572
19,9,1.0,0.4444444444444444,0.6428571428571428,1.6666666666666665,0.0,0.0,0.0,2989.6335999999997
20,9,1.0,0.42105263157894735,0.6428571428571428,1.7368421052631582,0.0,0.0,0.0,3051.7044
21,9,1.0,0.4000000000000001,0.6428571428571428,1.8,0.0,0.0,0.0,3012.3839999999996
22,9,1.0,0.38095238095238093,0.6428571428571428,1.857142857142857,0.0,0.0,0.0,2512.4852
23,9,1.0,0.3636363636363636,0.6428571428571427,1.9090909090909092,0.0,0.0,0.0,2724.1023999999998
24,9,0.9996,0.34782608695652173,0.6428571428571427,1.956521739130435,0.0019595917942265445,0.0,0.0096,2968.0388000000007
25,9,1.0,0.33333333333333337,0.6428571428571428,2.0,0.0,0.0,0.0,3099.5971999999997
26,9,1.0,0.32,0.6428571428571428,2.08,0.0,0.0,0.0,2072.758
27,9,1.0,0.3076923076923077,0.6428571428571428,2.1538461538461537,0.0,0.0,0.0,2634.552
28,9,1.0,0.2962962962962963,0.6428571428571427,2.2222222222222223,0.0,0.0,0.0,2708.112
29,9,1.0,0.2857142857142857,0.6428571428571427,2.2857142857142856,0.0,0.0,0.0,2749.0027999999998
30,9,1.0,0.27586206896551724,0.6428571428571427,2.3448275862068964,0.0,0.0,0.0,2204.2976
31,9,1.0,0.26666666666666666,0.6428571428571427,2.4,0.0,0.0,0.0,2430.9588
32,9,1.0,0.25806451612903225,0.6428571428571427,2.4516129032258065,0.0,0.0,0.0,2741.3716
33,9,1.0,0.25,0.6428571428571427,2.5,0.0,0.0,0.0,2732.6188
34,9,1.0,0.24242424242424243,0.6428571428571427,2.5757575757575757,0.0,0.0,0.0,2218.1332
35,9,1.0,0.2352941176470588,0.6428571428571427,2.6470588235294117,0.0,0.0,0.0,2147.8356
36,9,1.0,0.22857142857142856,0.6428571428571427,2.714285714285714,0.0,0.0,0.0,2438.1412
37,9,1.0,0.2222222222222222,0.6428571428571427,2.7777777777777772,0.0,0.0,0.0,2396.702
38,9,1.0,0.2162162162162162,0.6428571428571427,2.8378378378378373,0.0,0.0,0.0,1687.5407999999998
39,9,1.0,0.21052631578947367,0.6428571428571427,2.894736842105263,0.0,0.0,0.0,2174.8472
40,9,1.0,0.20512820512820515,0.6428571428571427,2.9487179487179493,0.0,0.0,0.0,2368.2108
41,9,1.0,0.20000000000000004,0.6428571428571427,3.0,0.0,0.0,0.0,2329.4436
42,9,1.0,0.19512195121951223,0.6428571428571427,3.073170731707317,0.0,0.0,0.0,1852.7335999999998
43,9,0.9996,0.19047619047619047,0.6428571428571427,3.142857142857143,0.0019595917942265445,0.0,0.0172,2334.5252
44,9,1.0,0.18604651162790697,0.6428571428571427,3.209302325581395,0.0,0.0,0.0,1921.3455999999996
45,9,1.0,0.1818181818181818,0.6428571428571427,3.2727272727272725,0.0,0.0,0.0,2362.6092
46,9,1.0,0.17777777777777778,0.6428571428571427,3.333333333333333,0.0,0.0,0.0,1586.9543999999996
47,9,1.0,0.17391304347826086,0.6428571428571427,3.3913043478260874,0.0,0.0,0.0,1940.006
48,9,1.0,0.1702127659574468,0.6428571428571427,3.4468085106382973,0.0,0.0,0.0,2195.4864
49,9,1.0,0.16666666666666669,0.6428571428571427,3.5,0.0,0.0,0.0,1774.5804
50,9,1.0,0.163265306122449,0.6428571428571427,3.5714285714285716,0.0,0.0,0.0,1276.4524000000001
