size,k,avg_rate,avg_density,avg_clustering,avg_shortest_path,avg_std_rate,avg_median_rate,avg_incomp_nodes,avg_n_comp_nodes,avg_steps

5,0,0.29999999999999993,0.4,0.0,2.0,0.0,0.7,3.5000000000000004,1.1833333333333331,5000.0

5,1,0.24,0.4,0.0,1.8,0.0,0.8,3.8,1.2833333333333332,5000.0

5,2,0.17999999999999994,0.4,0.0,1.6,0.0,0.8,4.1000000000000005,1.3833333333333333,5000.0

5,3,0.24999999999999978,0.4,0.0,1.8,0.0,0.8,3.750000000000001,1.333333333333333,5000.0

5,4,0.7,0.5,0.4666666666666666,1.7,0.0,0.30000000000000004,1.5000000000000004,0.5166666666666666,5000.0

5,5,0.22999999999999987,0.4,0.0,1.8,0.0,0.8,3.8500000000000005,1.3166666666666667,5000.0

5,6,0.29000000000000004,0.4,0.0,2.0,0.0,0.6,3.55,1.2166666666666666,5000.0

5,7,0.24,0.4,0.0,1.8,0.0,0.8,3.8,1.2666666666666664,5000.0

5,8,0.26,0.4,0.0,1.8,0.0,0.8,3.7,1.2666666666666664,5000.0

5,9,0.20999999999999985,0.4,0.0,1.8,0.0,0.8,3.9500000000000006,1.333333333333333,5000.0

5,10,0.26,0.4,0.0,1.8,0.0,0.7,3.7,1.2666666666666666,5000.0

5,11,0.27,0.5,0.0,1.6,0.0,0.6,3.65,1.2166666666666668,5000.0

5,12,0.7999999999999999,0.6,0.5333333333333333,1.5,0.0,0.2,1.0000000000000002,0.3666666666666666,5000.0

5,13,0.7,0.5,0.4666666666666667,1.7,0.0,0.30000000000000004,1.5000000000000004,0.5166666666666666,5000.0

5,14,0.29999999999999993,0.4,0.0,1.8,0.0,0.7,3.5000000000000004,1.1666666666666665,5000.0

6,0,0.30000000000000004,0.4,0.0,1.7333333333333334,0.0,0.6666666666666666,4.199999999999999,1.4333333333333331,5000.0

6,1,0.6666666666666667,0.4666666666666667,0.4777777777777778,1.5333333333333334,0.0,0.3333333333333333,1.9999999999999996,0.6999999999999998,5000.0

6,2,0.30833333333333335,0.4,0.0,1.8666666666666667,0.0,0.6666666666666666,4.15,1.483333333333333,5000.0

6,3,0.5833333333333334,0.4,0.36111111111111116,1.8,0.0,0.41666666666666663,2.5,0.8666666666666666,5000.0

6,4,0.475,0.4666666666666667,0.0,1.6666666666666667,0.0,0.6666666666666666,3.1500000000000004,1.05,4500.1

6,5,0.30000000000000016,0.4,0.0,1.8,0.0,0.6666666666666666,4.199999999999999,1.4666666666666663,5000.0

6,6,0.2416666666666667,0.3333333333333333,0.0,2.066666666666667,0.0,0.8333333333333334,4.55,1.5999999999999999,5000.0

6,7,0.8,0.5333333333333333,0.3888888888888889,1.5333333333333334,0.0,0.16666666666666666,1.2000000000000002,0.4,5000.0

6,8,0.28333333333333344,0.3333333333333333,0.0,2.066666666666667,0.0,0.75,4.299999999999999,1.5166666666666664,5000.0

6,9,0.2666666666666667,0.3333333333333333,0.0,2.3333333333333335,0.0,0.6666666666666666,4.3999999999999995,1.4833333333333332,5000.0

6,10,0.34999999999999987,0.4,0.0,1.9333333333333333,0.0,0.6666666666666666,3.900000000000001,1.3333333333333335,5000.0

6,11,0.2666666666666667,0.3333333333333333,0.0,2.1333333333333333,0.0,0.6666666666666666,4.3999999999999995,1.5166666666666664,5000.0

6,12,0.6333333333333334,0.4,0.3888888888888889,1.8666666666666667,0.0,0.3333333333333333,2.1999999999999993,0.7999999999999998,5000.0

6,13,0.5833333333333334,0.4666666666666667,0.25,1.6,0.0,0.41666666666666663,2.5,0.85,5000.0

6,14,0.3583333333333334,0.3333333333333333,0.0,2.3333333333333335,0.0,0.6666666666666666,3.8499999999999996,1.3166666666666667,5000.0

7,0,0.4571428571428572,0.3333333333333333,0.21428571428571427,2.0,0.0,0.5714285714285714,3.8,1.2666666666666664,5000.0

7,1,0.7285714285714285,0.42857142857142855,0.14285714285714285,1.6666666666666667,0.0,0.2857142857142857,1.9000000000000004,0.6333333333333333,4280.8

