size,ave_rate,ave_density,ave_clustering,ave_shortest_path,ave_std_rate,ave_median_rate
4,1.0,1.0,1.0,1.0,0.0,0.0
5,1.0,1.0,1.0,1.0,0.0,0.0
6,0.745,0.7999999999999998,0.6666666666666665,1.2000000000000002,0.04114608122288199,0.0
7,0.9296,0.6666666666666665,0.5,1.333333333333333,0.027126370933097537,0.0
8,0.9656,0.5714285714285714,0.5,1.4285714285714286,0.016752313273097553,0.0
9,0.9739999999999999,0.5,0.5,1.5,0.015231546211727821,0.0
10,0.9857999999999998,0.4444444444444444,0.5,1.666666666666667,0.01115168148756053,0.0
11,0.9868000000000001,0.3999999999999999,0.5,1.8,0.012237646832622694,0.0
12,0.9847999999999999,0.36363636363636365,0.5,1.9090909090909094,0.012998461447417547,0.0
13,0.9894000000000002,0.33333333333333326,0.5,2.0,0.00858137518116998,0.0
14,0.9948000000000001,0.3076923076923077,0.5,2.1538461538461537,0.005741080037762934,0.0
15,0.9968,0.2857142857142857,0.5,2.2857142857142856,0.006144916598294892,0.0
16,0.9974000000000001,0.26666666666666666,0.5,2.4000000000000004,0.004820788317277585,0.0
17,0.9990000000000001,0.25,0.5,2.5,0.0030000000000000027,0.0
18,0.9987999999999999,0.2352941176470588,0.5,2.6470588235294117,0.0032496153618543876,0.0
19,0.9986,0.2222222222222222,0.5,2.7777777777777777,0.0034698703145794978,0.0
20,0.9994,0.2105263157894737,0.5,2.894736842105263,0.0023748684174075855,0.0
21,0.9992,0.19999999999999996,0.5,3.0,0.00271293199325011,0.0
22,0.9992,0.19047619047619044,0.5,3.142857142857143,0.00271293199325011,0.0
23,0.9990000000000001,0.18181818181818182,0.5,3.272727272727273,0.0030000000000000027,0.0
24,0.9994000000000001,0.1739130434782609,0.5,3.391304347826087,0.0023748684174075855,0.0
25,0.9992,0.16666666666666663,0.5,3.5,0.00271293199325011,0.0
26,0.9992,0.16,0.5,3.6399999999999992,0.00271293199325011,0.0
27,1.0,0.15384615384615385,0.5,3.7692307692307696,0.0,0.0
28,1.0,0.14814814814814814,0.5,3.8888888888888884,0.0,0.0
29,0.9994,0.14285714285714285,0.5,4.0,0.0023748684174075855,0.0
30,1.0,0.13793103448275865,0.5,4.137931034482759,0.0,0.0
31,0.9994,0.13333333333333333,0.5,4.266666666666667,0.0023748684174075855,0.0
32,0.9996,0.12903225806451613,0.5,4.387096774193548,0.0019595917942265445,0.0
33,1.0,0.125,0.5,4.5,0.0,0.0
34,1.0,0.12121212121212122,0.5,4.636363636363637,0.0,0.0
35,1.0,0.1176470588235294,0.5,4.764705882352941,0.0,0.0
36,0.9998,0.11428571428571427,0.5,4.885714285714287,0.0014000000000000013,0.0
37,0.9996,0.1111111111111111,0.5,5.0,0.0019595917942265445,0.0
38,0.9998,0.1081081081081081,0.5,5.135135135135135,0.0014000000000000013,0.0
39,0.9998,0.10526315789473685,0.5,5.263157894736842,0.0014000000000000013,0.0
40,1.0,0.10256410256410253,0.5,5.384615384615384,0.0,0.0
41,1.0,0.09999999999999998,0.5,5.5,0.0,0.0
42,1.0,0.0975609756097561,0.5,5.634146341463414,0.0,0.0
43,1.0,0.09523809523809522,0.5,5.761904761904762,0.0,0.0
44,0.9996,0.09302325581395349,0.5,5.883720930232559,0.0019595917942265445,0.0
45,1.0,0.09090909090909091,0.5,6.0,0.0,0.0
46,1.0,0.08888888888888888,0.5,6.133333333333334,0.0,0.0
47,0.9998,0.08695652173913045,0.5,6.260869565217392,0.0014000000000000013,0.0
48,1.0,0.08510638297872339,0.5,6.382978723404257,0.0,0.0
49,1.0,0.08333333333333331,0.5,6.5,0.0,0.0
50,1.0,0.08163265306122447,0.5,6.632653061224491,0.0,0.0
