size,ave_rate,density,clustering,shortest_path,std_rate,median_rate
4,1.0,1.0,1.0,1.0,0.0,0.0
5,1.0,1.0,1.0,1.0,0.0,0.0
6,0.6699999999999999,0.8,0.6666666666666666,1.2,0.47021271782034985,0.0
7,0.97,0.6666666666666666,0.5,1.3333333333333333,0.1705872210923198,0.0
8,0.96,0.5714285714285714,0.5,1.4285714285714286,0.19595917942265423,0.0
9,0.96,0.5,0.5,1.5,0.19595917942265423,0.0
10,0.99,0.4444444444444444,0.5,1.6666666666666667,0.09949874371066199,0.0
11,0.97,0.4,0.5,1.8,0.1705872210923198,0.0
12,1.0,0.36363636363636365,0.5,1.9090909090909092,0.0,0.0
13,0.97,0.3333333333333333,0.5,2.0,0.17058722109231983,0.0
14,1.0,0.3076923076923077,0.5,2.1538461538461537,0.0,0.0
15,1.0,0.2857142857142857,0.5,2.2857142857142856,0.0,0.0
16,1.0,0.26666666666666666,0.5,2.4,0.0,0.0
17,1.0,0.25,0.5,2.5,0.0,0.0
18,1.0,0.23529411764705882,0.5,2.6470588235294117,0.0,0.0
19,1.0,0.2222222222222222,0.5,2.7777777777777777,0.0,0.0
20,1.0,0.21052631578947367,0.5,2.8947368421052633,0.0,0.0
21,1.0,0.2,0.5,3.0,0.0,0.0
22,1.0,0.19047619047619047,0.5,3.142857142857143,0.0,0.0
23,1.0,0.18181818181818182,0.5,3.272727272727273,0.0,0.0
24,1.0,0.17391304347826086,0.5,3.391304347826087,0.0,0.0
25,0.99,0.16666666666666666,0.5,3.5,0.09949874371066199,0.0
26,1.0,0.16,0.5,3.64,0.0,0.0
27,1.0,0.15384615384615385,0.5,3.769230769230769,0.0,0.0
28,1.0,0.14814814814814814,0.5,3.888888888888889,0.0,0.0
29,1.0,0.14285714285714285,0.5,4.0,0.0,0.0
30,1.0,0.13793103448275862,0.5,4.137931034482759,0.0,0.0
31,1.0,0.13333333333333333,0.5,4.266666666666667,0.0,0.0
32,1.0,0.12903225806451613,0.5,4.387096774193548,0.0,0.0
33,1.0,0.125,0.5,4.5,0.0,0.0
34,1.0,0.12121212121212122,0.5,4.636363636363637,0.0,0.0
35,1.0,0.11764705882352941,0.5,4.764705882352941,0.0,0.0
36,1.0,0.11428571428571428,0.5,4.885714285714286,0.0,0.0
37,1.0,0.1111111111111111,0.5,5.0,0.0,0.0
38,1.0,0.10810810810810811,0.5,5.135135135135135,0.0,0.0
39,1.0,0.10526315789473684,0.5,5.2631578947368425,0.0,0.0
40,1.0,0.10256410256410256,0.5,5.384615384615385,0.0,0.0
41,1.0,0.1,0.5,5.5,0.0,0.0
42,1.0,0.0975609756097561,0.5,5.634146341463414,0.0,0.0
43,1.0,0.09523809523809523,0.5,5.761904761904762,0.0,0.0
44,1.0,0.09302325581395349,0.5,5.883720930232558,0.0,0.0
45,1.0,0.09090909090909091,0.5,6.0,0.0,0.0
46,1.0,0.08888888888888889,0.5,6.133333333333334,0.0,0.0
47,1.0,0.08695652173913043,0.5,6.260869565217392,0.0,0.0
48,1.0,0.0851063829787234,0.5,6.382978723404255,0.0,0.0
49,1.0,0.08333333333333333,0.5,6.5,0.0,0.0
50,1.0,0.08163265306122448,0.5,6.63265306122449,0.0,0.0
