gameId,size,#solutions,ave_rate,sd_rate
0,20,,,
1,20,84744,0.2635,0.07309411741036347
2,20,18432,0.2925,0.06571719714047457
3,20,137184,0.4075,0.09229707470987367
4,20,80616,0.36150000000000004,0.06475144786026024
5,20,23808,0.293,0.04583666654546335
6,20,1728,0.32,0.0632455532033676
7,20,15216,0.2935,0.08445560964198884
8,20,193728,0.3975000000000001,0.08466847110938049
9,20,150432,0.4335,0.07715406664590015
10,20,21600,0.33399999999999996,0.08884818512496472
11,20,33120,0.2275,0.08227241335952167
12,20,14976,0.29350000000000004,0.05858967485828881
13,20,44448,0.30799999999999994,0.05732364259186605
14,20,46848,0.393,0.08602906485601247
15,20,8640,0.209,0.058898217290508884
16,20,35088,0.32899999999999996,0.07522632517942107
17,20,75840,0.45400000000000007,0.06232174580353154
18,20,35328,0.27399999999999997,0.06836665854054884
19,20,204720,0.371,0.12829263423907078
20,20,39168,0.4065000000000001,0.0503264344057872
21,20,,,
22,20,21792,0.3135,0.05824731753480155
23,20,49344,0.32,0.07141428428542851
24,20,28368,0.283,0.07007852738178792
25,20,8640,0.3275,0.058040933831219506
26,20,47016,0.324,0.06726068688320096
27,20,4320,0.268,0.0766550715869472
28,20,26304,0.2929999999999999,0.08216446920658589
29,20,23616,0.3075,0.05214163403653552
30,20,74112,0.33099999999999996,0.08882004278314665
31,20,35856,0.268,0.06539113089708726
32,20,81312,0.345,0.12519984025548914
33,20,76800,0.374,0.12154834429147934
34,20,241152,0.435,0.07952986860293434
35,20,30528,0.29,0.054313902456001074
36,20,34560,0.36700000000000005,0.045398237851264685
37,20,21552,0.295,0.07984359711335656
38,20,131832,0.41400000000000003,0.06406246951218789
39,20,6912,0.3195,0.06359834903517544
40,20,82944,0.3785,0.0775419241442976
41,20,47568,0.3549999999999999,0.07158910531638177
42,20,166464,0.48200000000000004,0.09287626176801046
43,20,1152,0.24299999999999997,0.0696491205974634
44,20,,,
45,20,82176,0.38300000000000006,0.060506198029623384
46,20,9144,0.29900000000000004,0.07549172140042906
47,20,,,
48,20,7296,0.24450000000000002,0.05607807058021879
49,20,11664,0.252,0.0603821165578021
50,20,23040,0.31150000000000005,0.05237127075028827
51,20,29376,0.3399999999999999,0.07348469228349536
52,20,142272,0.3470000000000001,0.09214662229295223
53,20,3648,0.31500000000000006,0.05894913061275798
54,20,47616,0.308,0.10481412118603105
55,20,29448,0.3105,0.06296626080687974
56,20,133488,0.44850000000000007,0.0798295058233483
57,20,35904,0.3115,0.10316370485786172
58,20,7488,0.2895,0.06375539192884001
59,20,281664,0.4175,0.11166355717063647
60,20,104928,0.3974999999999999,0.07595228765481657
61,20,44496,0.27899999999999997,0.07621679604916491
62,20,9408,0.27799999999999997,0.04915282290977803
63,20,1728,0.159,0.05214403129793476
64,20,40992,0.307,0.09487360012142473
65,20,109632,0.37400000000000005,0.07952358140828418
66,20,112704,0.33299999999999996,0.0938669270829721
67,20,12672,0.2535,0.06937398647908305
68,20,70320,0.30349999999999994,0.10130523184910048
69,20,25920,0.42000000000000015,0.06819090848492929
70,20,31680,0.33649999999999997,0.059099492383606816
71,20,79104,0.32549999999999996,0.08261204512660365
72,20,37440,0.36399999999999993,0.06822023160324217
73,20,50304,0.32799999999999996,0.07187489130426564
74,20,61056,0.29700000000000004,0.08240752392834043
75,20,20736,0.33849999999999997,0.0473576815310885
76,20,51456,0.326,0.068
77,20,43776,0.39049999999999996,0.06917188735317262
78,20,28320,0.2535,0.05256186830773806
79,20,59904,0.20599999999999993,0.08754427451295715
80,20,107712,0.3635,0.07901107517304143
81,20,22704,0.295,0.04609772228646443
82,20,76416,0.32150000000000006,0.08522176951929596
83,20,8688,0.2414999999999999,0.062471993725188565
84,20,63936,0.335,0.13238202294873727
85,20,29808,0.2945,0.07276503281109684
86,20,13824,0.384,0.06851277253184256
87,20,14400,0.25149999999999995,0.05632716928800878
88,20,16800,0.332,0.05938013135721409
89,20,12960,0.32799999999999996,0.06217716622683926
90,20,39696,0.21600000000000003,0.05911006682452659
91,20,89304,0.349,0.06891298861608021
92,20,139776,0.3805000000000001,0.10461715920440583
93,20,1728,0.281,0.067
94,20,32304,0.28550000000000003,0.09415280133909984
95,20,53976,0.3165,0.06043798474469512
96,20,72576,0.46950000000000003,0.06515174594744182
97,20,18144,0.31499999999999995,0.054543560573178565
98,20,16128,0.3275,0.06417748826496719
99,20,6768,0.2775,0.08196798155377501
100,20,20448,0.2965,0.08979281708466441
101,20,6336,0.23399999999999996,0.07709734106958553
102,20,38400,0.29700000000000004,0.08240752392834043
103,20,4656,0.27399999999999997,0.06303967004989795
104,20,57312,0.36749999999999994,0.08011710179481034
105,20,60624,0.33899999999999997,0.08791473141629906
106,20,73944,0.3509999999999999,0.06670082458260918
107,20,109440,0.3289999999999999,0.0557584074378026
108,20,3720,0.222,0.04319722213291036
109,20,44352,0.3005,0.054997727225768143
110,20,138240,0.39649999999999996,0.07976684775017753
111,20,44208,0.2615,0.07773512719485316
112,20,41496,0.35200000000000004,0.10244998779892558
113,20,5760,0.2885,0.033056769352131185
114,20,15264,0.22649999999999995,0.06908509245850367
115,20,20736,0.27799999999999997,0.09228217596047461
116,20,44424,0.2655,0.09790173645038172
117,20,49632,0.39,0.07582875444051551
118,20,29160,0.30049999999999993,0.10210166502070375
119,20,30048,0.26,0.058309518948452994
120,20,8064,0.253,0.0446206230346462
121,20,32832,0.2929999999999999,0.08000624975587844
122,20,20040,0.2595,0.0688095196902289
123,20,29952,0.3125,0.07224091638399946
124,20,15792,0.27949999999999997,0.058777121399401645
125,20,30672,0.23500000000000004,0.0912414379544733
126,20,1944,0.2895,0.09520898066884237
127,20,14688,0.25800000000000006,0.08417838202293983
128,20,56520,0.2985,0.0630297548781526
129,20,32064,0.3325,0.07258615570478988
130,20,8064,0.36050000000000004,0.06756293362488044
131,20,2592,0.2805,0.06666895829394666
132,20,24192,0.30400000000000005,0.05553377350765929
133,20,46848,0.33699999999999997,0.07092954250522134
134,20,81792,0.3325,0.0649519052838329
135,20,24144,0.306,0.08132650244538986
136,20,9600,0.311,0.05855766388782941
137,20,10248,0.267,0.08192069335644077
138,20,53160,0.3425,0.0846684711093805
139,20,10080,0.212,0.054369108876272734
140,20,31824,0.3075,0.07628073151196178
141,20,40896,0.27999999999999997,0.10271319292087067
142,20,23616,0.3495,0.0626478251817252
143,20,57120,0.29399999999999993,0.0711617874986288
144,20,10848,0.28250000000000003,0.08407585860400119
145,20,13104,0.2815,0.08793605631366465
146,20,43584,0.317,0.07184010022264724
147,20,137040,0.4135000000000001,0.10071122082469262
