gameId,size,#solutions,clustering,shortest_path,transitivity,completion_rate
69,13,78,0.3516666666666667,2.1736842105263157,0.2097902097902098,0.876923076923077
70,16,420,0.39326839826839827,2.1526315789473682,0.16551724137931034,0.8942857142857144
71,19,144,0.26869047619047615,2.1157894736842104,0.1643835616438356,0.7833333333333333
72,16,384,0.2545238095238095,2.194736842105263,0.15671641791044777,0.7625
73,15,960,0.12666666666666665,2.268421052631579,0.12195121951219512,0.79
74,10,48,0.3906709956709956,2.110526315789474,0.2222222222222222,0.85
75,19,180,0.2772619047619047,2.221052631578947,0.19708029197080293,0.8466666666666667
76,18,336,0.28396103896103897,2.110526315789474,0.17763157894736842,0.75
77,17,24,0.6311111111111111,2.0,0.23195876288659795,0.95
78,18,720,0.3100396825396825,2.2473684210526317,0.21739130434782608,0.7333333333333333
79,13,432,0.3067063492063492,2.1473684210526316,0.1935483870967742,0.7333333333333333
80,18,72,0.5411507936507937,2.1473684210526316,0.26,0.9166666666666666
81,18,192,0.28500000000000003,2.1736842105263157,0.17266187050359713,0.8375
82,19,120,0.3779365079365079,2.2157894736842105,0.2426470588235294,0.9099999999999999
83,19,444,0.2646428571428571,2.2,0.13740458015267176,0.8486486486486486
84,19,96,0.3610714285714286,2.1315789473684212,0.21428571428571427,0.85
85,16,72,0.2951587301587302,2.2473684210526317,0.23076923076923078,0.8833333333333334
86,19,342,0.3497619047619048,2.210526315789474,0.1956521739130435,0.787719298245614
87,12,552,0.20825396825396822,2.231578947368421,0.15328467153284672,0.7391304347826086
88,16,324,0.38607142857142857,2.163157894736842,0.21710526315789475,0.75
89,10,210,0.38928571428571435,2.1842105263157894,0.19014084507042253,0.8542857142857143
90,10,30,0.6715201465201466,2.068421052631579,0.2542372881355932,0.9400000000000001
91,17,180,0.4343406593406593,2.094736842105263,0.2222222222222222,0.8033333333333333
92,17,144,0.39474358974358975,2.1315789473684212,0.22929936305732485,0.8166666666666667
93,14,690,0.2416666666666667,2.2,0.15555555555555556,0.7547826086956522
94,18,204,0.3011904761904762,2.1526315789473682,0.17518248175182483,0.8794117647058824
95,18,240,0.29781746031746037,2.1894736842105265,0.19148936170212766,0.86
96,9,156,0.5106623931623931,2.0473684210526315,0.21052631578947367,0.8423076923076923
97,15,414,0.2011111111111111,2.1894736842105265,0.144,0.8028985507246377
98,9,72,0.298015873015873,2.1842105263157894,0.2112676056338028,0.8666666666666666
99,18,204,0.297420634920635,2.1578947368421053,0.18045112781954886,0.8852941176470589
100,15,72,0.3963492063492064,2.1736842105263157,0.24489795918367346,0.8833333333333334
101,10,120,0.4277272727272726,2.110526315789474,0.2088607594936709,0.89
102,17,360,0.31452380952380954,2.2,0.19285714285714287,0.8366666666666667
103,18,2352,0.09527777777777778,2.2421052631578946,0.12195121951219512,0.648469387755102
104,16,96,0.2623160173160174,2.2,0.2097902097902098,0.9
105,16,216,0.38183621933621936,2.1157894736842104,0.21019108280254778,0.8
106,16,348,0.1592857142857143,2.1789473684210527,0.16279069767441862,0.7931034482758621
107,14,252,0.19174603174603175,2.1842105263157894,0.15441176470588236,0.8261904761904763
108,17,336,0.2647619047619048,2.2473684210526317,0.17777777777777778,0.8142857142857143
109,18,60,0.454029304029304,2.0894736842105264,0.22641509433962265,0.93
110,13,240,0.30476190476190473,2.163157894736842,0.17777777777777778,0.8425
111,17,666,0.35365079365079366,2.236842105263158,0.17777777777777778,0.8612612612612613
112,17,24,0.5590293040293041,2.0789473684210527,0.2413793103448276,0.9
113,11,36,0.4228571428571429,2.0631578947368423,0.22413793103448276,0.9166666666666666
114,19,120,0.36491341991341997,2.094736842105263,0.20754716981132076,0.82
115,19,24,0.6081385281385282,2.1789473684210527,0.2857142857142857,0.9
116,13,720,0.2296031746031746,2.168421052631579,0.17142857142857143,0.7433333333333334
117,19,78,0.5683333333333334,2.068421052631579,0.21666666666666667,0.9
118,19,144,0.37377705627705626,2.094736842105263,0.1935483870967742,0.9166666666666666
119,18,228,0.43247835497835496,2.0894736842105264,0.18120805369127516,0.9210526315789475
120,13,384,0.17833333333333334,2.168421052631579,0.17391304347826086,0.775
121,19,240,0.2666883116883117,2.0631578947368423,0.147239263803681,0.77
122,16,48,0.5526515151515151,2.142105263157895,0.24375,0.95
123,18,432,0.37749999999999995,2.1473684210526316,0.16783216783216784,0.8388888888888889
124,14,96,0.3801190476190476,1.9842105263157894,0.17010309278350516,0.8
125,13,102,0.42642857142857143,2.0,0.18333333333333332,0.8588235294117647
126,18,288,0.19777777777777777,2.1526315789473682,0.17142857142857143,0.8166666666666667
127,17,36,0.5095238095238095,2.036842105263158,0.23595505617977527,0.9166666666666666
