size,trial,rate,density,clustering,shortest_path,n_comp_nodes,steps,l1,l2
55,0,0.5454545454545454,0.07138047138047138,0.1542030696576151,2.76026936026936,15.666666666666664,1000,15.666666666666664,3.3166247903554
55,1,0.6363636363636364,0.07138047138047138,0.1542030696576151,2.76026936026936,12.333333333333332,1000,12.333333333333332,2.9249881291307074
55,2,0.5454545454545454,0.07138047138047138,0.1542030696576151,2.76026936026936,17.333333333333332,1000,17.333333333333332,3.559026084010437
55,3,0.4545454545454546,0.07138047138047138,0.1542030696576151,2.76026936026936,16.999999999999996,1000,16.999999999999996,3.3829638550307397
55,4,0.6181818181818182,0.07138047138047138,0.1542030696576151,2.76026936026936,12.0,1000,12.0,2.748737083745107
55,5,0.4,0.07138047138047138,0.1542030696576151,2.76026936026936,18.33333333333333,1000,18.33333333333333,3.48010216963685
55,6,0.4545454545454546,0.07138047138047138,0.1542030696576151,2.76026936026936,15.000000000000002,1000,15.000000000000002,3.0368111930480994
55,7,0.5454545454545454,0.07138047138047138,0.1542030696576151,2.76026936026936,11.66666666666667,1000,11.66666666666667,2.4720661623652203
55,8,0.34545454545454546,0.07138047138047138,0.1542030696576151,2.76026936026936,17.0,1000,17.0,3.0731814857642954
55,9,0.4545454545454546,0.07138047138047138,0.1542030696576151,2.76026936026936,18.666666666666664,1000,18.666666666666664,3.711842908553348
55,10,0.4363636363636364,0.07138047138047138,0.1542030696576151,2.76026936026936,19.333333333333332,1000,19.333333333333332,3.7416573867739413
55,11,0.4727272727272728,0.07138047138047138,0.1542030696576151,2.76026936026936,15.666666666666668,1000,15.666666666666668,3.1091263510296048
55,12,0.49090909090909096,0.07138047138047138,0.1542030696576151,2.76026936026936,13.666666666666666,1000,13.666666666666666,2.808716591058786
55,13,0.38181818181818183,0.07138047138047138,0.1542030696576151,2.76026936026936,17.33333333333333,1000,17.33333333333333,3.197221015541813
55,14,0.4727272727272728,0.07138047138047138,0.1542030696576151,2.76026936026936,17.333333333333332,1000,17.333333333333332,3.431876713662333
55,15,0.34545454545454546,0.07138047138047138,0.1542030696576151,2.76026936026936,18.0,1000,18.0,3.2998316455372216
55,16,0.4363636363636364,0.07138047138047138,0.1542030696576151,2.76026936026936,16.666666666666664,1000,16.666666666666664,3.2998316455372216
55,17,0.5636363636363637,0.07138047138047138,0.1542030696576151,2.76026936026936,14.0,1000,14.0,3.0912061651652345
55,18,0.49090909090909096,0.07138047138047138,0.1542030696576151,2.76026936026936,17.0,1000,17.0,3.511884584284246
55,19,0.49090909090909096,0.07138047138047138,0.1542030696576151,2.76026936026936,14.666666666666666,1000,14.666666666666666,3.018461712712472
