size,k,avg_rate,density,clustering,shortest_path,std_rate,median_rate,n_comp_nodes,avg_steps,avg_l1,avg_l2
5,0,0.55,0.6,0.6,1.4,0.08660254037844385,0.4,1.6666666666666665,1000.0,1.6666666666666665,1.1447839573871783
5,1,0.21000000000000008,0.6,0.0,1.4,0.2142428528562855,0.8,2.216666666666667,1000.0,2.216666666666667,1.235948614156316
5,2,0.5999999999999999,0.6,0.5333333333333333,1.5,0.06324555320336758,0.4,1.5333333333333334,1000.0,1.5333333333333334,1.1173178319686015
5,3,0.5799999999999998,0.6,0.5333333333333333,1.5,0.059999999999999984,0.4,1.4666666666666666,1000.0,1.4666666666666666,1.0479217567565178
5,4,0.49,0.6,0.3333333333333333,1.4,0.09949874371066197,0.6,1.5499999999999998,1000.0,1.5499999999999998,1.0545773907758986
5,5,0.5599999999999999,0.6,0.6,1.4,0.07999999999999999,0.4,1.5166666666666666,1000.0,1.5166666666666666,1.0574128631228548
5,6,0.55,0.6,0.6,1.4,0.10723805294763607,0.4,1.5166666666666666,1000.0,1.5166666666666666,1.0535555275687967
5,7,0.5,0.6,0.3333333333333333,1.4,0.09999999999999999,0.5,1.4999999999999998,1000.0,1.4999999999999998,1.0037679877824899
5,8,0.5999999999999999,0.6,0.6,1.4,5.551115123125783e-17,0.4,1.3333333333333335,1000.0,1.3333333333333335,0.9921858366055757
5,9,0.25,0.6,0.0,1.4,0.18841443681416772,0.6,2.0666666666666664,1000.0,2.0666666666666664,1.1740962754513402
15,0,0.5566666666666666,0.24761904761904763,0.40296296296296297,1.980952380952381,0.07965202096899014,0.43333333333333335,4.166666666666667,1000.0,4.166666666666667,1.7264738784604812
15,1,0.51,0.24761904761904763,0.26904761904761904,1.9619047619047618,0.060644684662200826,0.5333333333333333,4.550000000000001,1000.0,4.550000000000001,1.8181283970132618
15,2,0.65,0.24761904761904763,0.28343915343915344,2.0,0.08913161304747293,0.3333333333333333,3.4166666666666665,1000.0,3.4166666666666665,1.5536873574062346
15,3,0.57,0.24761904761904763,0.3495238095238095,2.038095238095238,0.06489307444643928,0.4666666666666667,3.7333333333333334,1000.0,3.7333333333333334,1.5881980468436558
15,4,0.6333333333333333,0.24761904761904763,0.4886243386243386,1.9619047619047618,0.0906764700582363,0.3666666666666667,3.5166666666666666,1000.0,3.5166666666666666,1.5778358799626715
15,5,0.6733333333333333,0.24761904761904763,0.5118518518518518,1.8952380952380952,0.14892205269125783,0.3,3.65,1000.0,3.65,1.6567859443617983
15,6,0.69,0.24761904761904763,0.5563492063492064,2.0476190476190474,0.08239471396205517,0.3333333333333333,3.5833333333333335,1000.0,3.5833333333333335,1.6875826281752644
15,7,0.6966666666666667,0.24761904761904763,0.4496969696969696,1.9238095238095239,0.09994442900376634,0.3333333333333333,3.05,1000.0,3.05,1.4679314391861218
15,8,0.5633333333333332,0.24761904761904763,0.14984126984126983,1.9904761904761905,0.0714142842854285,0.43333333333333335,4.166666666666667,1000.0,4.166666666666667,1.7511251822375389
15,9,0.6199999999999999,0.24761904761904763,0.36079365079365083,2.038095238095238,0.08969082698049143,0.4,3.9,1000.0,3.9,1.7144289505842507
25,0,0.69,0.15333333333333332,0.31163636363636366,2.263333333333333,0.10723805294763608,0.32,5.216666666666666,1000.0,5.216666666666666,1.9712006849452393
25,1,0.6599999999999999,0.15333333333333332,0.10990476190476191,2.25,0.08625543461139129,0.36,5.549999999999999,1000.0,5.549999999999999,2.021357152106611
25,2,0.556,0.15333333333333332,0.22223088023088022,2.29,0.12955307792561319,0.45999999999999996,6.449999999999998,1000.0,6.449999999999998,2.096406137015565
25,3,0.6279999999999999,0.15333333333333332,0.30943589743589744,2.216666666666667,0.11320777358467925,0.36,5.683333333333334,1000.0,5.683333333333334,1.998358549515287
25,4,0.6019999999999999,0.15333333333333332,0.2526666666666666,2.31,0.07846018098373213,0.4,6.533333333333333,1000.0,6.533333333333333,2.2016397141372983
25,5,0.5120000000000001,0.15333333333333332,0.3643578643578643,2.3,0.11214276615100949,0.48,6.883333333333333,1000.0,6.883333333333333,2.1496764199179395
25,6,0.6299999999999999,0.15333333333333332,0.1937777777777778,2.31,0.08087026647662292,0.38,6.0,1000.0,6.0,2.1142616001281813
25,7,0.51,0.15333333333333332,0.29464957264957264,2.263333333333333,0.10029955134495867,0.48,7.066666666666667,1000.0,7.066666666666667,2.1942271570497156
25,8,0.5599999999999999,0.15333333333333332,0.272,2.29,0.08854377448471462,0.4,6.616666666666667,1000.0,6.616666666666667,2.14479803294906
